c_number	entry	name
C00236	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
C00074	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
C00022	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
C00197	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
C00631	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
C00354	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
C00118	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
C00267	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
C00085	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
C00111	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
C00668	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate
C00236	M00002	Glycolysis_core_module_involving_three_carbon_compounds
C00074	M00002	Glycolysis_core_module_involving_three_carbon_compounds
C00022	M00002	Glycolysis_core_module_involving_three_carbon_compounds
C00197	M00002	Glycolysis_core_module_involving_three_carbon_compounds
C00631	M00002	Glycolysis_core_module_involving_three_carbon_compounds
C00118	M00002	Glycolysis_core_module_involving_three_carbon_compounds
C00111	M00002	Glycolysis_core_module_involving_three_carbon_compounds
C00036	M00003	Gluconeogenesis_oxaloacetate_fructose_6P
C00074	M00003	Gluconeogenesis_oxaloacetate_fructose_6P
C00236	M00003	Gluconeogenesis_oxaloacetate_fructose_6P
C00197	M00003	Gluconeogenesis_oxaloacetate_fructose_6P
C00631	M00003	Gluconeogenesis_oxaloacetate_fructose_6P
C00118	M00003	Gluconeogenesis_oxaloacetate_fructose_6P
C00354	M00003	Gluconeogenesis_oxaloacetate_fructose_6P
C00085	M00003	Gluconeogenesis_oxaloacetate_fructose_6P
C00111	M00003	Gluconeogenesis_oxaloacetate_fructose_6P
C00345	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle
C05382	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle
C00279	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle
C01236	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle
C00231	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle
C00118	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle
C00085	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle
C00199	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle
C00668	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle
C00117	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle
C01172	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle
C00117	M00005	PRPP_biosynthesis_ribose_5P_PRPP
C00119	M00005	PRPP_biosynthesis_ribose_5P_PRPP
C01236	M00006	Pentose_phosphate_pathway_oxidative_phase_glucose_6P_ribulose_5P
C00345	M00006	Pentose_phosphate_pathway_oxidative_phase_glucose_6P_ribulose_5P
C01172	M00006	Pentose_phosphate_pathway_oxidative_phase_glucose_6P_ribulose_5P
C00199	M00006	Pentose_phosphate_pathway_oxidative_phase_glucose_6P_ribulose_5P
C05382	M00007	Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
C00279	M00007	Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
C00231	M00007	Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
C00118	M00007	Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
C00085	M00007	Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
C00199	M00007	Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
C00117	M00007	Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P
C00345	M00008	Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate
C00022	M00008	Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate
C01236	M00008	Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate
C00118	M00008	Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate
C01172	M00008	Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate
C04442	M00008	Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate
C00036	M00009	Citrate_cycle_TCA_cycle_Krebs_cycle
C16254	M00009	Citrate_cycle_TCA_cycle_Krebs_cycle
C00026	M00009	Citrate_cycle_TCA_cycle_Krebs_cycle
C15972	M00009	Citrate_cycle_TCA_cycle_Krebs_cycle
C00122	M00009	Citrate_cycle_TCA_cycle_Krebs_cycle
C15973	M00009	Citrate_cycle_TCA_cycle_Krebs_cycle
C00158	M00009	Citrate_cycle_TCA_cycle_Krebs_cycle
C00091	M00009	Citrate_cycle_TCA_cycle_Krebs_cycle
C00149	M00009	Citrate_cycle_TCA_cycle_Krebs_cycle
C00042	M00009	Citrate_cycle_TCA_cycle_Krebs_cycle
C00024	M00009	Citrate_cycle_TCA_cycle_Krebs_cycle
C00311	M00009	Citrate_cycle_TCA_cycle_Krebs_cycle
C00036	M00010	Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate
C00026	M00010	Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate
C00158	M00010	Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate
C00024	M00010	Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate
C00311	M00010	Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate
C00036	M00011	Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
C16254	M00011	Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
C00026	M00011	Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
C15972	M00011	Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
C00122	M00011	Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
C15973	M00011	Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
C00091	M00011	Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
C00149	M00011	Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
C00042	M00011	Citrate_cycle_second_carbon_oxidation_2_oxoglutarate_oxaloacetate
C00036	M00012	Glyoxylate_cycle
