c_number	entry	name	definition
C00236	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate	K00844;K12407;K00845;K25026;K00886;K08074;K00918;K01810;K06859;K13810;K15916;K00850;K16370;K21071;K00918;K01623;K01624;K11645;K16305;K16306;K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00074	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate	K00844;K12407;K00845;K25026;K00886;K08074;K00918;K01810;K06859;K13810;K15916;K00850;K16370;K21071;K00918;K01623;K01624;K11645;K16305;K16306;K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00022	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate	K00844;K12407;K00845;K25026;K00886;K08074;K00918;K01810;K06859;K13810;K15916;K00850;K16370;K21071;K00918;K01623;K01624;K11645;K16305;K16306;K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00197	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate	K00844;K12407;K00845;K25026;K00886;K08074;K00918;K01810;K06859;K13810;K15916;K00850;K16370;K21071;K00918;K01623;K01624;K11645;K16305;K16306;K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00631	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate	K00844;K12407;K00845;K25026;K00886;K08074;K00918;K01810;K06859;K13810;K15916;K00850;K16370;K21071;K00918;K01623;K01624;K11645;K16305;K16306;K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00354	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate	K00844;K12407;K00845;K25026;K00886;K08074;K00918;K01810;K06859;K13810;K15916;K00850;K16370;K21071;K00918;K01623;K01624;K11645;K16305;K16306;K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00118	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate	K00844;K12407;K00845;K25026;K00886;K08074;K00918;K01810;K06859;K13810;K15916;K00850;K16370;K21071;K00918;K01623;K01624;K11645;K16305;K16306;K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00267	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate	K00844;K12407;K00845;K25026;K00886;K08074;K00918;K01810;K06859;K13810;K15916;K00850;K16370;K21071;K00918;K01623;K01624;K11645;K16305;K16306;K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00085	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate	K00844;K12407;K00845;K25026;K00886;K08074;K00918;K01810;K06859;K13810;K15916;K00850;K16370;K21071;K00918;K01623;K01624;K11645;K16305;K16306;K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00111	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate	K00844;K12407;K00845;K25026;K00886;K08074;K00918;K01810;K06859;K13810;K15916;K00850;K16370;K21071;K00918;K01623;K01624;K11645;K16305;K16306;K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00668	M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate	K00844;K12407;K00845;K25026;K00886;K08074;K00918;K01810;K06859;K13810;K15916;K00850;K16370;K21071;K00918;K01623;K01624;K11645;K16305;K16306;K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00236	M00002	Glycolysis_core_module_involving_three_carbon_compounds	K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00074	M00002	Glycolysis_core_module_involving_three_carbon_compounds	K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00022	M00002	Glycolysis_core_module_involving_three_carbon_compounds	K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00197	M00002	Glycolysis_core_module_involving_three_carbon_compounds	K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00631	M00002	Glycolysis_core_module_involving_three_carbon_compounds	K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00118	M00002	Glycolysis_core_module_involving_three_carbon_compounds	K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00111	M00002	Glycolysis_core_module_involving_three_carbon_compounds	K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406
C00036	M00003	Gluconeogenesis_oxaloacetate_fructose_6P	K01596;K01610;K01689;K01834;K15633;K15634;K15635;K00927;K00134;K00150;K01803;K01623;K01624;K11645;K03841;K02446;K11532;K01086;K04041;K01622
C00074	M00003	Gluconeogenesis_oxaloacetate_fructose_6P	K01596;K01610;K01689;K01834;K15633;K15634;K15635;K00927;K00134;K00150;K01803;K01623;K01624;K11645;K03841;K02446;K11532;K01086;K04041;K01622
C00236	M00003	Gluconeogenesis_oxaloacetate_fructose_6P	K01596;K01610;K01689;K01834;K15633;K15634;K15635;K00927;K00134;K00150;K01803;K01623;K01624;K11645;K03841;K02446;K11532;K01086;K04041;K01622
C00197	M00003	Gluconeogenesis_oxaloacetate_fructose_6P	K01596;K01610;K01689;K01834;K15633;K15634;K15635;K00927;K00134;K00150;K01803;K01623;K01624;K11645;K03841;K02446;K11532;K01086;K04041;K01622
C00631	M00003	Gluconeogenesis_oxaloacetate_fructose_6P	K01596;K01610;K01689;K01834;K15633;K15634;K15635;K00927;K00134;K00150;K01803;K01623;K01624;K11645;K03841;K02446;K11532;K01086;K04041;K01622
C00118	M00003	Gluconeogenesis_oxaloacetate_fructose_6P	K01596;K01610;K01689;K01834;K15633;K15634;K15635;K00927;K00134;K00150;K01803;K01623;K01624;K11645;K03841;K02446;K11532;K01086;K04041;K01622
C00354	M00003	Gluconeogenesis_oxaloacetate_fructose_6P	K01596;K01610;K01689;K01834;K15633;K15634;K15635;K00927;K00134;K00150;K01803;K01623;K01624;K11645;K03841;K02446;K11532;K01086;K04041;K01622
C00085	M00003	Gluconeogenesis_oxaloacetate_fructose_6P	K01596;K01610;K01689;K01834;K15633;K15634;K15635;K00927;K00134;K00150;K01803;K01623;K01624;K11645;K03841;K02446;K11532;K01086;K04041;K01622
C00111	M00003	Gluconeogenesis_oxaloacetate_fructose_6P	K01596;K01610;K01689;K01834;K15633;K15634;K15635;K00927;K00134;K00150;K01803;K01623;K01624;K11645;K03841;K02446;K11532;K01086;K04041;K01622
C00345	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle	K13937;K00036;K19243;K01057;K07404;K00033;K01783;K01807;K01808;K00615;K00616;K01810;K06859;K15916;K13810
C05382	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle	K13937;K00036;K19243;K01057;K07404;K00033;K01783;K01807;K01808;K00615;K00616;K01810;K06859;K15916;K13810
C00279	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle	K13937;K00036;K19243;K01057;K07404;K00033;K01783;K01807;K01808;K00615;K00616;K01810;K06859;K15916;K13810
C01236	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle	K13937;K00036;K19243;K01057;K07404;K00033;K01783;K01807;K01808;K00615;K00616;K01810;K06859;K15916;K13810
C00231	M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle	K13937;K00036;K19243;K01057;K07404;K00033;K01783;K01807;K01808;K00615;K00616;K01810;K06859;K15916;K13810
