GO_ID	GO_Tier1_ID	Tier_level
GO:0000003_reproduction	biological_process	tier2
GO:0002376_immune system process	biological_process	tier2
GO:0006791_sulfur utilization	biological_process	tier2
GO:0006794_phosphorus utilization	biological_process	tier2
GO:0007610_behavior	biological_process	tier2
GO:0008152_metabolic process	biological_process	tier2
GO:0009758_carbohydrate utilization	biological_process	tier2
GO:0009987_cellular process	biological_process	tier2
GO:0015976_carbon utilization	biological_process	tier2
GO:0019740_nitrogen utilization	biological_process	tier2
GO:0022414_reproductive process	biological_process	tier2
GO:0022610_biological adhesion	biological_process	tier2
GO:0023052_signaling	biological_process	tier2
GO:0032501_multicellular organismal process	biological_process	tier2
GO:0032502_developmental process	biological_process	tier2
GO:0040007_growth	biological_process	tier2
GO:0040011_locomotion	biological_process	tier2
GO:0043473_pigmentation	biological_process	tier2
GO:0044419_interspecies interaction between organisms	biological_process	tier2
GO:0044848_biological phase	biological_process	tier2
GO:0048511_rhythmic process	biological_process	tier2
GO:0050896_response to stimulus	biological_process	tier2
GO:0051179_localization	biological_process	tier2
GO:0051703_intraspecies interaction between organisms	biological_process	tier2
GO:0051704_multi-organism process	biological_process	tier2
GO:0065007_biological regulation	biological_process	tier2
GO:0098754_detoxification	biological_process	tier2
GO:0110148_biomineralization	biological_process	tier2
GO:0005622_intracellular	cellular_component	tier2
GO:0019012_virion	cellular_component	tier2
GO:0032991_protein-containing complex	cellular_component	tier2
GO:0044217_other organism part	cellular_component	tier2
GO:0044423_virion part	cellular_component	tier2
GO:0110165_cellular anatomical entity	cellular_component	tier2
GO:0003824_catalytic activity	molecular_function	tier2
GO:0005198_structural molecule activity	molecular_function	tier2
GO:0005215_transporter activity	molecular_function	tier2
GO:0005488_binding	molecular_function	tier2
GO:0016209_antioxidant activity	molecular_function	tier2
GO:0031386_protein tag	molecular_function	tier2
GO:0038024_cargo receptor activity	molecular_function	tier2
GO:0044183_protein folding chaperone	molecular_function	tier2
GO:0045182_translation regulator activity	molecular_function	tier2
GO:0045735_nutrient reservoir activity	molecular_function	tier2
GO:0060089_molecular transducer activity	molecular_function	tier2
GO:0090729_toxin activity	molecular_function	tier2
GO:0098772_molecular function regulator	molecular_function	tier2
GO:0140104_molecular carrier activity	molecular_function	tier2
GO:0140110_transcription regulator activity	molecular_function	tier2
GO:0140299_small molecule sensor activity	molecular_function	tier2
GO:0140313_molecular sequestering activity	molecular_function	tier2
