GO_ID	GO_Tier2_ID	GO_Tier1_ID	Tier_Level
GO:0000075_cell cycle checkpoint	GO:0009987_cellular process	biological_process	Tier3
GO:0000128_flocculation	GO:0051703_intraspecies interaction betfween organisms	biological_process	Tier3
GO:0000728_gene conversion at mating-type locus_DNA double-strand break formation	GO:0022414_reproductive process	biological_process	Tier3
GO:0000734_gene conversion at mating-type locus_DNA repair synthesis	GO:0022414_reproductive process	biological_process	Tier3
GO:0000742_karyogamy involved in conjugation with cellular fusion	GO:0022414_reproductive process	biological_process	Tier3
GO:0000743_nuclear migration involved in conjugation with cellular fusion	GO:0022414_reproductive process	biological_process	Tier3
GO:0000752_agglutination involved in conjugation with cellular fusion	GO:0022414_reproductive process	biological_process	Tier3
GO:0000771_agglutination involved in conjugation	GO:0051703_intraspecies interaction between organisms	biological_process	Tier3
GO:0000920_septum digestion after cytokinesis	GO:0009987_cellular process	biological_process	Tier3
GO:0001503_ossification	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0001545_primary ovarian follicle growth	GO:0040007_growth	biological_process	Tier3
GO:0001546_preantral ovarian follicle growth	GO:0040007_growth	biological_process	Tier3
GO:0001550_ovarian cumulus expansion	GO:0040007_growth	biological_process	Tier3
GO:0001763_morphogenesis of a branching structure	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0001775_cell activation	GO:0009987_cellular process	biological_process	Tier3
GO:0001776_leukocyte homeostasis	GO:0002376_immune system process	biological_process	Tier3
GO:0001816_cytokine production	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0001906_cell killing	GO:0009987_cellular process	biological_process	Tier3
GO:0002021_response to dietary excess	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0002077_acrosome matrix dispersal	GO:0022414_reproductive process	biological_process	Tier3
GO:0002118_aggressive behavior	GO:0007610_behavior	biological_process	Tier3
GO:0002200_somatic diversification of immune receptors	GO:0002376_immune system process	biological_process	Tier3
GO:0002209_behavioral defense response	GO:0007610_behavior	biological_process	Tier3
GO:0002210_behavioral response to wounding	GO:0007610_behavior	biological_process	Tier3
GO:0002252_immune effector process	GO:0002376_immune system process	biological_process	Tier3
GO:0002253_activation of immune response	GO:0002376_immune system process	biological_process	Tier3
GO:0002262_myeloid cell homeostasis	GO:0002376_immune system process	biological_process	Tier3
GO:0002339_B cell selection	GO:0002376_immune system process	biological_process	Tier3
GO:0002404_antigen sampling in mucosal-associated lymphoid tissue	GO:0002376_immune system process	biological_process	Tier3
GO:0002440_production of molecular mediator of immune response	GO:0002376_immune system process	biological_process	Tier3
GO:0002507_tolerance induction	GO:0002376_immune system process	biological_process	Tier3
GO:0002520_immune system development	GO:0002376_immune system process	biological_process	Tier3
GO:0002532_production of molecular mediator involved in inflammatory response	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0003006_developmental process involved in reproduction	GO:0022414_reproductive process	biological_process	Tier3
GO:0003006_developmental process involved in reproduction	GO:0032502_developmental process	biological_process	Tier3
GO:0003008_system process	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0003053_circadian regulation of heart rate	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0006276_plasmid maintenance	GO:0009987_cellular process	biological_process	Tier3
GO:0006457_protein folding	GO:0009987_cellular process	biological_process	Tier3
GO:0006734_NADH metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0006739_NADP metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0006807_nitrogen compound metabolic process	GO:0008152_metabolic process	biological_process	Tier3
GO:0006903_vesicle targeting	GO:0009987_cellular process	biological_process	Tier3
GO:0006928_movement of cell or subcellular component	GO:0009987_cellular process	biological_process	Tier3
GO:0006949_syncytium formation	GO:0009987_cellular process	biological_process	Tier3
GO:0006950_response to stress	GO:0050896_response to stimulus	biological_process	Tier3
GO:0006955_immune response	GO:0002376_immune system process	biological_process	Tier3
GO:0006955_immune response	GO:0050896_response to stimulus	biological_process	Tier3
GO:0007017_microtubule-based process	GO:0009987_cellular process	biological_process	Tier3
GO:0007034_vacuolar transport	GO:0009987_cellular process	biological_process	Tier3
GO:0007049_cell cycle	GO:0009987_cellular process	biological_process	Tier3
GO:0007059_chromosome segregation	GO:0009987_cellular process	biological_process	Tier3
GO:0007117_budding cell bud growth	GO:0022414_reproductive process	biological_process	Tier3
GO:0007117_budding cell bud growth	GO:0040007_growth	biological_process	Tier3
GO:0007154_cell communication	GO:0009987_cellular process	biological_process	Tier3
GO:0007155_cell adhesion	GO:0009987_cellular process	biological_process	Tier3
GO:0007155_cell adhesion	GO:0022610_biological adhesion	biological_process	Tier3
GO:0007163_establishment or maintenance of cell polarity	GO:0009987_cellular process	biological_process	Tier3
GO:0007165_signal transduction	GO:0009987_cellular process	biological_process	Tier3
GO:0007267_cell-cell signaling	GO:0023052_signaling	biological_process	Tier3
GO:0007272_ensheathment of neurons	GO:0009987_cellular process	biological_process	Tier3
GO:0007275_multicellular organism development	GO:0032501_multicellular organismal process	biological_process	Tier3
GO:0007300_ovarian nurse cell to oocyte transport	GO:0022414_reproductive process	biological_process	Tier3
GO:0007316_pole plasm RNA localization	GO:0022414_reproductive process	biological_process	Tier3
