KEGG	SH-CON_vs_SH-H_p	SH-CON_vs_SH-H_fc	SH-NAC_vs_SH-H_p	SH-NAC_vs_SH-H_fc	SH-10_vs_SH-H_p	SH-10_vs_SH-H_fc	SH-100_vs_SH-H_p	SH-100_vs_SH-H_fc	SH-103_vs_SH-H_p	SH-103_vs_SH-H_fc	SH-100_vs_SH-NAC_p	SH-100_vs_SH-NAC_fc	SH-100_vs_SH-CON_p	SH-100_vs_SH-CON_fc	SH-100_vs_SH-10_p	SH-100_vs_SH-10_fc
C00170	0.108412542230114	2.35345875017074	0.000489828653946302	2.99007890502457	0.0013138276872911	6.54878277588524	0.0666800355456318	1.82589682132272	0.0290565644206512	0.569584074956156	0.0222592482801171	0.610651718339089	0.500895413633713	0.775835489443039	0.0010660049077384	0.278814687218862
C05130	0.692114209486492	0.868650408543294	0.510739923212815	1.15558551624167	0.740103940949322	1.07925343205807	0.0951928623708346	0.498885255924823	0.178966612383842	0.64678856678541	0.0102587498785351	0.431716431984501	0.236361687922741	0.574322248649422	0.0154189179590791	0.462250330743428
C03765	2.18862726962051e-05	1.88604899307573	2.45309415514401e-06	2.78090319521538	1.57235867360127e-06	4.76077777508279	6.4316232288632e-06	2.02915152950656	0.548001014273543	0.895327505451857	0.000114719598980304	0.729673558215825	0.163776525218795	1.07587424131409	8.44201458534078e-07	0.426222694141878
C00632	0.00303386060837996	2.47692751620584	1.62602339786056e-05	4.03886265082849	1.69594912684939e-06	6.11947610028903	0.000433558201700247	3.16689406563234	0.983391349744414	0.992219938668807	0.0108885729991447	0.784105412691546	0.000286714592753557	1.27855742443501	2.40170752435685e-07	0.517510651848573
C00601	0.371301167683025	1.61873243001316	0.449134510271389	1.34435092160571	0.0980825035301141	2.39070955060112	0.496267599158733	1.52538583462218	0.396251180316271	1.54458195428902	0.79991301685432	1.13466343505031	0.913630174862297	0.942333523650834	0.359018811838927	0.638047325422127
C01586	0.277055633318174	0.921442995795987	0.0122091333115632	2.16775219032814	2.40548747775699e-05	2.78094688799762	0.00251410136575266	1.28781759260389	0.00431126572634934	1.25683048411246	0.0322491452414507	0.594079710010096	0.000253414450812523	1.39760961717595	0.000102562122537624	0.463086007921268
C00483	0.652777275893312	1.14638863347253	0.981452524258233	0.990575132758501	0.368874502890697	0.734078458382069	0.26992531065985	0.656470644091158	0.101554779187338	0.45462564341351	0.337732256420889	0.662716660636385	0.0509837997018888	0.572642317730106	0.567062660199471	0.894278583706214
C05853	9.39226785227892e-07	1.20798464711979	0.0976894577114091	0.964573604093399	0.000133655944976269	1.17643151190208	0.0519693496412713	1.04276242110524	0.0260705925656388	1.0948819309404	0.006424759210227	1.08106049831763	3.43250511209309e-05	0.863224895772901	0.000623116385474583	0.886377498864577
C03283	0.0123296056649037	1.08580564227047	2.39283188183547e-05	1.25336441701939	1.77982735551368e-05	1.2463855463384	0.000227207274434251	1.16921440592369	0.00449036657565206	0.898496582422399	0.0123753751417454	0.932860698809514	0.00569051333848401	1.07681739752135	0.0069202353025437	0.938084053813507
C00082	0.0125780966028268	1.63633343444748	6.62370510840414e-05	1.81409949990142	0.0322194621399424	1.48535242094434	0.123723190954756	1.27651457744522	0.00385057881896331	0.550878513804183	0.0122526464424146	0.703662934428125	0.12569377148171	0.780106639987008	0.340721491614884	0.859401822386134
