GeneID	SH-CON-1	SH-CON-2	SH-CON-3	SH-CON-4	SH-CON-5	SH-NAC-1	SH-NAC-2	SH-NAC-3	SH-NAC-4	SH-NAC-5	SH-H-1	SH-H-2	SH-H-3	SH-H-4	SH-H-5	SH-10-1	SH-10-2	SH-10-3	SH-10-4	SH-10-5	SH-100-1	SH-100-2	SH-100-3	SH-100-4	SH-100-5	SH-103-1	SH-103-2	SH-103-3	SH-103-4	SH-103-5
C00170	17281548	44139667	63053685	17648327	20855493	46420064	36275165	32666087	43145274	48558536	15163388	12569303	12209056	13005934	16303042	116514341	75628723	73377029	75753886	112233963	25452500	9387297	35465396	33092527	23046955	10947092	3109040	10993789	3563836	10830352
C05130	6014691	28407276	24625088	5872688	20675992	20703018	20284212	22915629	25755371	24211735	17419571	26049998	26957157	4418386	23693649	20082503	22385911	22950410	15807320	25122152	4476201	17625599	16859857	5445577	4752301	16716714	15656385	13358253	10133941	7868451
C03765	23448063	27034212	22438992	23145488	22594504	33234885	38359237	32526892	35204660	35635568	13807955	13515153	12090068	11833158	11668924	57642924	61507004	65184047	57469216	57722371	25404328	23169742	27080066	27561596	24448860	13764211	13861217	3491579	11867556	13345198
C00632	21516201	20894142	20013740	19978411	22776634	30983038	35574920	29657035	39556843	35732598	11426019	13043823	3451001	3385756	11156948	48731168	54059088	54399172	50408954	52256279	28023208	24273881	27656230	28192815	26331421	12586529	12682548	2803746	10928360	3131995
C00601	2036306	4459989	681284	651899	3132905	2569265	2105687	1735075	637751	2056438	1994554	627827	577123	613409	2959289	435808	3874276	2314584	5209598	4356102	5254850	2296160	1584050	602529	592632	559403	2919570	534770	2623519	3822959
C01586	2690985	3211309	3054628	2497003	2664232	5011815	6848948	6571539	9673246	5108298	3061249	2755487	2992533	3656827	2855695	9645611	7404418	8814881	8646216	8097961	4043158	4258487	3825851	3549698	4054478	3708235	3913566	3956849	3608365	4069879
C00483	108406719	234904050	201158817	165719750	108551308	136651262	83367101	68642079	304088725	114710850	84530911	106261488	219628844	242084875	61685056	134311837	81053804	122371304	96932750	89602661	110020736	73596794	89879397	142677914	52670699	57906448	61648134	73694893	64990613	66449534
C05853	14854044	15504433	15698865	15500782	15456396	11874657	12077799	12275896	12245507	13022099	12501799	12675193	12635334	12660852	13281374	14519915	15806330	15279953	14680513	14716153	13211454	13098089	13465342	12783306	13922660	14843121	13645794	12722954	14170507	14421331
C03283	994468754	941609709	909223955	951984411	978428788	1088476248	1057590095	1082970979	1119128381	1164526244	865140796	840774437	921529531	923369890	847500690	1133948035	1103088439	1052620635	1080275732	1112063832	1071596015	1013212670	997978926	1038206085	1021579966	774562785	788463895	768582288	802233441	818028896
C00082	4164488	5132736	2696466	4321878	4706190	4442164	5203621	4088540	4720544	4850626	2664096	3122631	2419896	2740800	1899444	4601397	3134759	4855449	2809614	3680906	4002250	4227603	2641227	2914613	2613520	1355701	1546236	1360256	1322495	1492375
C00148	29814964	29695164	214542387	138457059	32157089	943671364	95258454	186779692	157902210	32262426	32936703	136909626	28523298	29547483	109753445	141508738	208934759	211580561	32982456	233330840	115524542	189310693	172496730	127916159	191973022	30764630	132137361	130082860	437815993	133248675
