	Prognosis	Induction_phase1	Induction_phase2	Intensification_Start	Maintenance therapy	Death	protein_cluster
ENSG00000227232	3.72992015	3.1085558	3.0820565	2.9229276	2.9922173	3.664070233	2
ENSG00000233750	1.675031385	0.39258826	2.0241523	1.1815588	0	1.3790265	4
ENSG00000241860	4.0151575	2.7963946	4.1465716	3.2674801	4.260812	4.1162858	3
ENSG00000279457	2.50882215	0.36593166	1.9480177	1.9726539	0.9352513	1.995010533	2
ENSG00000237094	1.458937065	0.8729215	2.387264	1.023685	0.92375344	1.089741622	4
ENSG00000225972	8.4505145	7.719009	7.3435884	7.161383	8.452045	9.000439333	3
ENSG00000225630	9.4023675	9.124396	8.56723	8.0780325	9.503571	9.821891	3
ENSG00000237973	12.09426	11.288971	10.942665	12.026075	13.061671	11.97191367	3
ENSG00000229344	9.441483	10.488134	8.978547	8.048795	9.787247	9.750566	5
ENSG00000240409	8.5741295	7.9265666	7.102616	7.0787315	7.4890275	9.017366433	2
ENSG00000248527	9.903647	9.577384	9.224446	8.422723	9.0597	10.256608	5
ENSG00000198744	10.4461585	10.099403	9.079452	8.486847	11.858981	10.17413233	3
ENSG00000228327	3.1101435	2.2001193	3.382632	2.2743797	2.3474038	2.835171767	4
ENSG00000228794	0.41314386	0.55808926	0.65731335	0.8280419	0	0.43553818	7
ENSG00000188976	3.87911375	1.4678384	1.893682	2.3096235	2.8615766	3.4579687	2
ENSG00000187608	3.6296171	0.78190225	1.9512266	4.279319	4.3537273	2.977757867	3
ENSG00000188157	0.139739765	0	0	0	0	0.073916747	2
ENSG00000131591	0.6966302	0	0	0	0	0.293820463	2
ENSG00000078808	4.28730105	1.9808252	2.3234391	3.4752336	3.721274	4.1460576	2
ENSG00000176022	2.67492	1.7009319	1.6691447	2.8448386	1.4097469	1.911327267	4
ENSG00000160087	2.936994	0.7753437	2.073704	2.4778943	2.5339544	2.841597267	2
ENSG00000131584	1.83735325	0.17327225	2.2144792	1.448387	0	1.8361222	4
ENSG00000169972	1.6780095	0	1.0362318	1.0233561	0	0.663437633	4
