Gene ID	Prognosis	Induction_phase1	Induction_phase2	Intensification_Start	Maintenance therapy	Death
ENSG00000227232	3.156824267	3.1085558	3.0820565	2.9229276	4.4965011	3.664070233
ENSG00000233750	1.11668759	0.39258826	2.0241523	1.1815588	1.7835922	1.3790265
ENSG00000241860	2.676771667	2.7963946	4.1465716	3.2674801	6.23264355	4.1162858
ENSG00000279457	1.73700652	0.36593166	1.9480177	1.9726539	2.5174751	1.995010533
ENSG00000237094	0.97262471	0.8729215	2.387264	1.023685	2.33592747	1.089741622
ENSG00000225972	6.794124733	7.719009	7.3435884	7.161383	10.37402125	9.000439333
ENSG00000225630	7.328752067	9.124396	8.56723	8.0780325	12.17485715	9.821891
ENSG00000237973	10.48042553	11.288971	10.942665	12.026075	17.7030195	11.97191367
ENSG00000229344	7.897531	10.488134	8.978547	8.048795	11.884169	9.750566
ENSG00000240409	6.5054629	7.9265666	7.102616	7.0787315	9.5020115	9.017366433
ENSG00000248527	7.972178	9.577384	9.224446	8.422723	11.9091757	10.256608
ENSG00000198744	8.678131667	10.099403	9.079452	8.486847	13.7322445	10.17413233
ENSG00000228327	2.438250067	2.2001193	3.382632	2.2743797	4.08209205	2.835171767
ENSG00000228794	0.27542924	0.55808926	0.65731335	0.8280419	0.41402095	0.43553818
ENSG00000188976	2.850899933	1.4678384	1.893682	2.3096235	3.64459815	3.4579687
ENSG00000187608	3.353636333	0.78190225	1.9512266	4.279319	9.13538365	2.977757867
ENSG00000188157	0.093159843	0	0	0	1.10072	0.073916747
ENSG00000131591	0.617872977	0	0	0	0	0.293820463
ENSG00000078808	3.337570633	1.9808252	2.3234391	3.4752336	5.78350145	4.1460576
ENSG00000176022	2.004474147	1.7009319	1.6691447	2.8448386	3.13887145	1.911327267
ENSG00000160087	2.3207511	0.7753437	2.073704	2.4778943	4.1684531	2.841597267
ENSG00000131584	1.596043267	0.17327225	2.2144792	1.448387	1.15285243	1.8361222
ENSG00000169972	1.159266845	0	1.0362318	1.0233561	2.04986175	0.663437633
ENSG00000127054	2.58050271	1.3406813	2.0466776	2.3226655	3.85956375	3.1658523
ENSG00000224051	2.751931267	1.6434411	1.7669731	2.1303236	4.18202025	2.6574506
ENSG00000107404	1.907980167	0.24660072	0.83484846	1.5069398	1.706900735	2.115195847
ENSG00000221978	2.15892815	2.4104125	2.9098837	1.9266859	2.45983625	3.105840167
ENSG00000224870	2.386221267	1.0473727	1.9935787	2.7036958	3.41284855	2.728788867
ENSG00000242485	2.388700657	1.6412446	2.9466221	3.1921394	4.2029662	3.233838633
ENSG00000272455	1.759865301	2.8780367	3.4706757	2.3983145	3.3562191	2.985589233
ENSG00000160072	2.22531218	1.043907	2.1648324	1.2296813	0.61484065	1.136468767
ENSG00000160075	2.570548813	2.4318213	2.860139	3.3249023	5.63767505	3.949308067
ENSG00000272106	1.303510633	0.3047652	1.2534305	0.6801642	1.9966517	1.975312933
ENSG00000197530	2.0932371	0.6866026	1.9473562	1.217296	1.75675335	2.030832967
ENSG00000248333	1.7992475	1.6472266	1.7858167	2.4324908	3.5734048	2.6218363
ENSG00000189339	3.343600367	2.6450913	3.6650562	4.332435	5.2933321	4.126043267
ENSG00000008128	0.196622	0	1.1069303	0	0.5961988	0.6792035
ENSG00000268575	1.049115367	1.2351342	1.5292346	1.6571118	1.99226055	2.2880739
ENSG00000215790	1.54499088	0.9735371	1.5891784	1.9918602	1.97873527	1.475671533
ENSG00000008130	3.2845011	3.4767706	3.7336483	4.697445	8.9694465	3.840978233
ENSG00000078369	4.584851533	4.4060874	4.414127	5.8622355	9.0494306	6.328751867
ENSG00000162585	1.490122057	0	0.47053775	0.94389427	1.039186375	1.930840143
ENSG00000157933	2.4640066	1.5633104	2.1292846	4.1365523	5.4656427	3.948544633
ENSG00000116151	0	0	0	0	0	0
ENSG00000157916	2.2329717	1.879454	2.2086494	3.0841882	4.37084245	3.019262967
ENSG00000157911	0.925288701	1.0788559	1.8118817	1.2772255	1.8282526	1.388471533
ENSG00000149527	0.048546477	0	1.2280787	0.20737067	0.103685335	0.207560167
ENSG00000157881	1.646114067	1.2342805	1.8440987	1.8417115	3.07490455	1.604415757
ENSG00000238164	0.617062267	0	0.45213526	0.9230738	2.4571602	0.666471608
ENSG00000157873	3.046858767	1.4924262	3.1917856	3.2990346	5.6535224	3.286302233
ENSG00000157870	2.064848667	0.81244314	1.8593931	2.3867102	1.40604265	2.36297365
ENSG00000162591	1.821033733	0.8086989	2.6582034	1.5440263	1.79425545	1.24276816
ENSG00000158109	2.6993049	2.5212502	3.0445094	4.616122	7.1627737	3.324353
ENSG00000116213	0.872744067	0.003958592	0.73087287	0.10679741	0.489358655	0.425385753
ENSG00000130764	2.64272698	2.2959878	2.3443708	3.3439014	4.62337505	3.206438233
ENSG00000116198	1.3195705	1.3564461	1.6029115	1.8170072	1.62091045	1.772993833
ENSG00000169598	0.69635401	0.6567574	1.4396276	2.1239722	1.0619861	1.912642767
ENSG00000198912	1.232716067	0.8309719	1.7522196	2.1627474	1.70981035	1.894166277
ENSG00000131697	0.665344643	0	0.6525266	0	0	0.830356267
ENSG00000069424	4.3304871	2.4141307	4.165843	5.028292	6.6411598	4.9464811
ENSG00000116251	2.912311913	4.0029597	2.7863054	4.5397587	5.05669005	4.0273592
ENSG00000116237	2.046665167	1.9714496	1.653631	2.9667528	3.458026	1.6740062
ENSG00000097021	1.960737033	1.7130617	0.9934857	1.7181417	1.76372035	1.810404633
ENSG00000162408	1.874830067	1.3689163	1.9574078	3.1356044	2.8637367	2.307846917
ENSG00000204859	2.266844833	1.4623195	2.5650482	2.6309981	4.1639499	2.503213433
ENSG00000162413	2.541699233	1.3464985	2.8312585	3.4187303	5.19294595	3.231195833
ENSG00000116273	1.555303	0.7284127	1.4035054	2.5221877	3.06910215	2.294605633
ENSG00000041988	1.516180753	0.6707002	1.8892817	1.971621	1.964100085	1.438241407
ENSG00000007923	1.3895442	0.70344263	1.6423025	1.7495375	1.50691824	1.504840133
ENSG00000171735	0.207315267	0	0	1.1086532	1.07123108	0.38454538
ENSG00000116288	2.9764839	3.75537	3.0105948	4.3648863	5.42304365	3.9782752
ENSG00000142599	1.831741467	2.0152235	2.5385437	3.247949	5.3611488	2.718083367
ENSG00000074800	6.3539221	5.135853	5.2068906	6.509937	10.14906135	7.9688641
ENSG00000049239	4.080276667	2.6041842	3.4427786	4.0559134	6.14289055	4.6778173
ENSG00000171608	4.003430933	3.3262906	4.3457575	5.4424257	8.5579226	4.5151235
ENSG00000171603	3.2300603	2.7877865	3.1273408	4.5479884	5.99903655	4.311873233
ENSG00000178585	2.227367867	1.4516186	1.3829846	2.7109807	3.39951235	3.212185467
ENSG00000130939	2.0117922	1.7885348	1.8886998	2.82694	4.13974985	2.663480233
ENSG00000054523	1.224799467	0.6716023	0.3170551	0.6723802	2.4835937	1.560590393
ENSG00000142657	5.450999767	4.9861555	4.223081	5.682408	10.5597585	6.9691255
ENSG00000160049	1.403129167	0.98630226	0.97455794	2.3640578	1.741275675	1.868209067
ENSG00000142655	1.78911951	1.5978562	2.4141083	2.3549318	2.7709832	2.339534033
ENSG00000130940	0.093645087	0	0	0	0.12899089	0.760494067
ENSG00000272078	0	0	0	0	0	0.1638474
ENSG00000120948	2.0664891	2.8703268	2.1604772	2.7284675	2.48844941	3.162158167
ENSG00000116649	3.7204042	3.5719051	2.9507494	3.3544106	4.64981695	3.352430667
ENSG00000171824	1.9524908	2.2150488	1.9262915	2.888469	3.7269855	2.364641367
ENSG00000198793	2.024288167	2.1908314	2.304978	2.9989042	3.20840135	2.433943767
ENSG00000120942	1.387094693	1.7165794	1.760541	3.0003188	2.5781297	2.0252061
ENSG00000116663	1.660864833	1.0077285	1.5919292	2.0516708	5.8481688	2.123231667
ENSG00000116670	3.6601288	2.7398803	2.215926	2.4712152	3.94458735	4.314963733
ENSG00000177674	3.726354	2.054068	2.8831122	3.611174	7.4242552	2.9145912
ENSG00000177000	1.6170126	0.6431007	0.8722054	2.4058096	3.4908123	2.216939133
ENSG00000011021	0.76336612	0.26774582	0.79777414	0.23468691	0.463367355	0.88329671
ENSG00000199347	6.210818233	7.4485164	4.1615252	5.904388	9.9094513	5.2259981
ENSG00000116685	3.601671167	2.723261	2.869624	3.9359164	6.5764497	3.605623833
ENSG00000083444	1.1732378	0	0	1.3210635	4.1909325	0.966284
ENSG00000116688	3.318704293	3.113842	2.960965	4.5069633	6.90032245	4.254737867
ENSG00000116691	3.702617333	1.8215783	2.6290276	2.2935522	4.80032675	3.3105988
