	Prognosis	A_I_phase_1	A_I_phase_2	A_R1_phase	Maintenance therapy	protein_cluster
ENSG00000227232	3.7475962	4.299565	4.30652	4.4492354	1.749638767	3
ENSG00000233750	1.512229233	1.6862193	1.5648879	1.2893457	1.409696533	4
ENSG00000241860	3.0393071	1.4766936	2.5298629	6.6219854	3.539970133	6
ENSG00000279457	2.1951778	2.5207376	2.549457	1.6472611	0.7968357	4
ENSG00000237094	0.34789737	0.2521698	0.6608293	3.8891826	1.245566333	6
ENSG00000225972	9.136049633	7.317403	8.16979	10.965956	4.923283333	3
ENSG00000225630	10.18061867	8.120182	9.161811	11.710535	5.239987667	3
ENSG00000237973	12.025224	10.704901	10.994584	12.578189	7.502364667	3
ENSG00000229344	9.760469	8.589881	9.121251	10.938511	5.340018533	3
ENSG00000240409	9.3370255	6.0284557	7.2813587	11.339031	4.538931333	3
ENSG00000248527	10.457414	8.29026	9.249245	11.993996	5.193335567	3
ENSG00000198744	9.8697405	9.322377	9.526372	11.171648	5.987489667	3
ENSG00000228327	2.3206135	2.9951837	3.5278862	4.3775177	2.4421395	6
ENSG00000228794	0.97700045	0	0	0.8906252	0	1
ENSG00000188976	4.673738833	3.9859736	3.775559	2.771468	1.586352267	5
ENSG00000187608	5.837435767	5.5072503	4.7752113	1.1073736	3.227969	5
ENSG00000188157	1.0435168	0.16241238	0	0	0	2
ENSG00000131591	0.840793273	0.6942007	0.67628545	0	0	5
ENSG00000078808	4.374620433	3.9463336	4.4662504	3.3348637	2.758702667	5
ENSG00000176022	4.144787833	2.8803048	3.2494304	1.5165687	1.0607248	5
ENSG00000160087	3.337202767	3.3101375	3.3585079	1.171909	1.839410367	4
ENSG00000131584	2.5838464	3.2101574	2.8328586	0.4342603	0.138115557	4
ENSG00000169972	1.817734	1.598453	1.0941851	0.2568171	0.642701687	5
ENSG00000127054	3.978227767	3.678611	3.6695077	1.8115971	1.5042568	5
ENSG00000224051	3.389393	5.149508	4.3903913	0.96409386	2.1047601	4
ENSG00000107404	3.145555033	3.2027571	3.188219	0.07855445	0.7834553	4
ENSG00000221978	3.313802067	4.099652	4.3974333	3.68397	1.277864133	4
ENSG00000224870	3.278438333	3.1905556	2.882982	1.1463288	1.347378567	5
ENSG00000242485	3.6952418	3.161971	3.676675	3.276151	1.6060785	2
ENSG00000272455	2.9926202	2.247797	2.3986442	3.39062	1.2441443	3
ENSG00000160072	2.698015767	3.4383056	2.9142904	0.9312528	0	4
ENSG00000160075	4.188102033	2.7813416	3.8592002	3.7197957	2.553364667	3
ENSG00000272106	2.531483567	2.8647506	2.7997518	0	0.9258264	4
ENSG00000197530	3.026790767	3.8789432	3.4734688	0.81781876	0.697771833	4
ENSG00000248333	2.7554593	2.181437	2.6915503	3.1433742	1.900120867	3
ENSG00000189339	4.693844533	4.277102	4.3556256	2.677224	2.147689	5
ENSG00000008128	0.33283231	1.8298078	2.0251572	1.4927988	0.6654344	4
ENSG00000268575	2.496496833	2.9831016	3.530027	2.9164534	1.105146767	4
ENSG00000215790	2.315692767	3.9556978	4.068226	0.15882815	0.225831967	4
ENSG00000008130	3.425397067	2.8410993	3.4558113	5.093697	4.170457	6
ENSG00000078369	6.3563057	4.5549026	5.310982	5.757462	4.1740314	1
ENSG00000162585	2.629279267	2.854444	2.5374835	0	0.559843633	4
ENSG00000157933	3.4582441	4.1777205	4.5844703	2.9202883	2.514395467	4
ENSG00000116151	0.242831517	0.27314007	0.71345395	0	0	4
ENSG00000157916	3.5323829	2.1784873	2.785356	3.2282257	1.982274533	1
ENSG00000157911	2.405886333	1.5404978	1.2666131	0	0	5
ENSG00000149527	0.222409423	2.3577342	1.9793367	0	0	4
ENSG00000157881	2.096752667	2.4494307	2.9280658	1.7047356	1.225564067	4
ENSG00000238164	0.46170318	1.9978765	1.7957746	2.5018094	1.020662167	6
ENSG00000157873	3.202108767	4.2855067	4.035986	1.7913408	2.507234267	4
ENSG00000157870	3.9798031	4.001201	3.00126	0	1.074898533	5
ENSG00000162591	1.597076087	3.0347276	2.0334754	0.48411226	0.486862467	4
ENSG00000158109	3.705774933	2.527266	3.6308763	3.189322	3.484261333	1
ENSG00000116213	1.070542867	0.80194575	1.0426204	2.3225243	0.491603133	7
ENSG00000130764	4.271468733	2.889425	3.3850875	2.895644	1.770935833	2
ENSG00000116198	2.4435048	0.7966585	1.4277171	2.1211119	0.507708883	1
ENSG00000169598	1.877072033	0.8286477	1.063891	1.1504153	0.113631326	2
ENSG00000198912	2.275431467	0.7472689	1.6408412	1.0542704	0.44184334	2
ENSG00000131697	1.210120333	0.95924646	0.5848413	0	0	5
ENSG00000069424	5.321053633	4.1773024	3.667863	4.1750603	2.9635884	2
ENSG00000116251	4.662573667	1.2848735	2.6981237	5.137403	1.9339551	1
