GeneID	Prognosis	Induction_phase1	Induction_phase2	Intensification_Start	Maintenance therapy
ENSG00000078808	3.73	3.11	3.08	2.92	2.99
ENSG00000160087	1.68	0.39	2.02	1.18	0
ENSG00000160075	4.02	2.8	4.15	3.27	4.26
ENSG00000078369	2.51	0.37	1.95	1.97	0.94
ENSG00000074800	1.46	0.87	2.39	1.02	0.92
ENSG00000116786	8.45	7.72	7.34	7.16	8.45
ENSG00000007968	9.4	9.12	8.57	8.08	9.5
ENSG00000011009	12.09	11.29	10.94	12.03	13.06
ENSG00000117308	9.44	10.49	8.98	8.05	9.79
ENSG00000188822	8.57	7.93	7.1	7.08	7.49
ENSG00000189266	9.9	9.58	9.22	8.42	9.06
ENSG00000142669	10.45	10.1	9.08	8.49	11.86
ENSG00000198830	3.11	2.2	3.38	2.27	2.35
ENSG00000142784	0.41	0.56	0.66	0.83	0
ENSG00000180098	3.88	1.47	1.89	2.31	2.86
ENSG00000084652	3.63	0.78	1.95	4.28	4.35
ENSG00000163866	0.14	0	0	0	0
ENSG00000163867	0.7	0	0	0	0
ENSG00000163877	4.29	1.98	2.32	3.48	3.72
ENSG00000134744	2.67	1.7	1.67	2.84	1.41
ENSG00000173406	2.94	0.78	2.07	2.48	2.53
ENSG00000132485	1.84	0.17	2.21	1.45	0
ENSG00000065243	1.68	0	1.04	1.02	0
ENSG00000122484	3.51	1.34	2.05	2.32	2.86
ENSG00000162676	3.34	1.64	1.77	2.13	2.66
ENSG00000143093	2.28	0.25	0.83	1.51	0.27
ENSG00000266338	2.86	2.41	2.91	1.93	1.93
ENSG00000178104	3.2	1.05	1.99	2.7	1.49
ENSG00000143418	3.49	1.64	2.95	3.19	2.18
ENSG00000279767	2.62	2.88	3.47	2.4	1.82
ENSG00000143543	1.76	1.04	2.16	1.23	0
ENSG00000143612	3.79	2.43	2.86	3.32	3.97
ENSG00000143183	1.96	0.3	1.25	0.68	1.61
ENSG00000143155	2.27	0.69	1.95	1.22	0.39
ENSG00000116161	2.7	1.65	1.79	2.43	2.41
ENSG00000157181	4.12	2.65	3.67	4.33	2.91
ENSG00000118197	0.29	0	1.11	0	0
ENSG00000163444	1.57	1.24	1.53	1.66	0.6
ENSG00000058673	1.66	0.97	1.59	1.99	0.14
ENSG00000117222	4.56	3.48	3.73	4.7	5.93
ENSG00000117697	5.98	4.41	4.41	5.86	6.37
ENSG00000136643	1.99	0	0.47	0.94	0.47
ENSG00000185495	3.08	1.56	2.13	4.14	3.1
ENSG00000162946	0	0	0	0	0
ENSG00000119285	3.35	1.88	2.21	3.08	3.12
ENSG00000054282	1.39	1.08	1.81	1.28	0.87
ENSG00000179456	0.07	0	1.23	0.21	0
ENSG00000153187	2.22	1.23	1.84	1.84	1.83
ENSG00000188295	0.93	0	0.45	0.92	1.22
ENSG00000163029	3.64	1.49	3.19	3.3	3
ENSG00000138073	2.43	0.81	1.86	2.39	0
ENSG00000250565	1.81	0.81	2.66	1.54	0
ENSG00000171150	4.05	2.52	3.04	4.62	4.79
ENSG00000275052	1.31	0	0.73	0.11	0.87
ENSG00000115421	3.48	2.3	2.34	3.34	2.84
ENSG00000232164	1.98	1.36	1.6	1.82	1.42
ENSG00000075292	1.04	0.66	1.44	2.12	0
ENSG00000144048	1.85	0.83	1.75	2.16	1.26
ENSG00000153561	1	0	0.65	0	0
ENSG00000275111	5.4	2.41	4.17	5.03	3.97
ENSG00000158435	4.36	4	2.79	4.54	4.04
ENSG00000135968	3.07	1.97	1.65	2.97	2.23
ENSG00000153201	2.41	1.71	0.99	1.72	0.95
ENSG00000155438	2.81	1.37	1.96	3.14	2.01
ENSG00000082258	2.97	1.46	2.57	2.63	2.06
ENSG00000115947	3.03	1.35	2.83	3.42	2.87
ENSG00000080345	2.33	0.73	1.4	2.52	1.7
ENSG00000196504	1.97	0.67	1.89	1.97	0.67
ENSG00000138398	2.08	0.7	1.64	1.75	1.12
ENSG00000144357	0.31	0	0	1.11	0.1
ENSG00000077380	4.46	3.76	3.01	4.36	4.09
ENSG00000172845	2.75	2.02	2.54	3.25	3.08
ENSG00000115966	7.79	5.14	5.21	6.51	7.54
ENSG00000163510	5.06	2.6	3.44	4.06	4.68
ENSG00000065548	4.75	3.33	4.35	5.44	5.29
ENSG00000003393	4.21	2.79	3.13	4.55	3.55
ENSG00000116030	3.34	1.45	1.38	2.71	2.24
ENSG00000135913	3.02	1.79	1.89	2.83	2.86
ENSG00000163482	1.84	0.67	0.32	0.67	3.08
ENSG00000115649	7.12	4.99	4.22	5.68	8.51
ENSG00000132323	2.1	0.99	0.97	2.36	0.78
ENSG00000144455	2.47	1.6	2.41	2.35	1.41
ENSG00000156983	0.14	0	0	0	0.16
ENSG00000171148	0	0	0	0	0
ENSG00000075975	3.1	2.87	2.16	2.73	2.13
ENSG00000206562	4.37	3.57	2.95	3.35	3.02
ENSG00000114742	2.93	2.22	1.93	2.89	2.75
ENSG00000088727	3.04	2.19	2.3	3	2.18
ENSG00000232112	2.01	1.72	1.76	3	1.48
ENSG00000164068	2.49	1.01	1.59	2.05	3.89
ENSG00000068001	4.45	2.74	2.22	2.47	2.56
ENSG00000180376	4.46	2.05	2.88	3.61	5.16
ENSG00000163634	2.43	0.64	0.87	2.41	2.04
ENSG00000281392	1.15	0.27	0.8	0.23	0.69
ENSG00000179021	7.23	7.45	4.16	5.9	7.84
ENSG00000114354	4.4	2.72	2.87	3.94	4.31
ENSG00000138468	1.76	0	0	1.32	3.45
ENSG00000031081	4.82	3.11	2.96	4.51	4.91
ENSG00000163389	4.16	1.82	2.63	2.29	3.65
ENSG00000163848	3.62	2.24	3.04	5.51	6.08
ENSG00000118007	2.22	2.12	2.05	2.18	2.34
ENSG00000169860	3.02	2.27	2.04	3.04	3.64
ENSG00000174953	6.18	4.14	4.96	6.34	7.15
ENSG00000163960	1.37	1.02	0.9	1.18	0.9
ENSG00000163961	4.47	2.91	3.32	4.15	4.58
ENSG00000163950	5.04	4.11	3.47	4.95	4.98
ENSG00000125388	3.29	2.6	2.48	3.2	2.91
ENSG00000248360	3.23	2.06	2.57	2.79	2.14
ENSG00000047365	2.16	1.38	1.64	1.84	1.67
ENSG00000035928	5.15	2.95	3.94	5.19	4.73
ENSG00000109171	3.19	2.23	2.28	3.43	3.51
ENSG00000109180	0.34	0.66	0.53	0	0
ENSG00000282278	1.9	1.49	1.63	0.79	1.03
ENSG00000047315	1.47	0.07	1.91	0	0
ENSG00000033178	1.8	0.38	1.22	1.06	0
ENSG00000138757	3.69	1.28	2.29	3.05	2.49
ENSG00000118816	4.2	2.85	2.68	3.3	4.41
ENSG00000251022	3.54	2.5	2.66	4.25	6.22
ENSG00000163312	5.61	4.89	4.5	4.05	8.27
ENSG00000138642	5.84	3.91	4.66	5.97	4.71
ENSG00000138785	0.44	0	0	0	0.62
ENSG00000164022	1.18	0.28	1.21	3.19	1.71
ENSG00000138802	4.12	3.18	3.79	4.19	4.11
ENSG00000174720	2.26	1.18	1.6	2.33	1.67
ENSG00000260404	3.22	1.29	1.97	3	0.88
ENSG00000145388	4.24	2.6	2.91	3.66	3.17
ENSG00000151470	1.42	0	2.29	1.67	0.73
ENSG00000273247	6.04	4.34	4.37	6.3	6.75
ENSG00000164168	2.22	0.71	0.78	1.74	1.22
ENSG00000109670	3.31	2.82	3.07	3.84	3.1
ENSG00000171566	5.52	4.61	3.53	4.13	8.51
ENSG00000109572	2.71	1.28	1.95	2.44	3.65
ENSG00000180104	5.78	3.93	4.12	5.26	4.92
ENSG00000164187	4.84	3.77	3.14	4.49	4.78
ENSG00000164327	2.32	2.01	1.5	2.23	3.07
ENSG00000113638	4.05	1.89	2.52	4.05	4.84
ENSG00000067248	4.1	2.2	2.56	4.15	4.65
