GeneID	Prognosis	Induction_phase1	Induction_phase2	Intensification_Start	Maintenance therapy
ENSG00000241860	3.75	4.3	4.31	4.45	2.62
ENSG00000279457	1.51	1.69	1.56	1.29	2.11
ENSG00000237094	3.04	1.48	2.53	6.62	5.31
ENSG00000228327	2.2	2.52	2.55	1.65	1.2
ENSG00000188976	0.35	0.25	0.66	3.89	1.87
ENSG00000131591	9.14	7.32	8.17	10.97	7.38
ENSG00000078808	10.18	8.12	9.16	11.71	7.86
ENSG00000176022	12.03	10.7	10.99	12.58	11.25
ENSG00000160087	9.76	8.59	9.12	10.94	8.01
ENSG00000131584	9.34	6.03	7.28	11.34	6.81
ENSG00000127054	10.46	8.29	9.25	11.99	7.79
ENSG00000224051	9.87	9.32	9.53	11.17	8.98
ENSG00000107404	2.32	3.0	3.53	4.38	3.66
ENSG00000224870	0.98	0.0	0.0	0.89	0.0
ENSG00000242485	4.67	3.99	3.78	2.77	2.38
ENSG00000160072	5.84	5.51	4.78	1.11	4.84
ENSG00000197530	1.04	0.16	0.0	0.0	0.0
ENSG00000189339	0.84	0.69	0.68	0.0	0.0
ENSG00000215790	4.37	3.95	4.47	3.33	4.14
ENSG00000078369	4.14	2.88	3.25	1.52	1.59
ENSG00000162585	3.34	3.31	3.36	1.17	2.76
ENSG00000116151	2.58	3.21	2.83	0.43	0.21
ENSG00000157911	1.82	1.6	1.09	0.26	0.96
ENSG00000149527	3.98	3.68	3.67	1.81	2.26
ENSG00000157870	3.39	5.15	4.39	0.96	3.16
ENSG00000158109	3.15	3.2	3.19	0.08	1.18
ENSG00000130764	3.31	4.1	4.4	3.68	1.92
ENSG00000116198	3.28	3.19	2.88	1.15	2.02
ENSG00000198912	3.7	3.16	3.68	3.28	2.41
ENSG00000116251	2.99	2.25	2.4	3.39	1.87
ENSG00000116237	2.7	3.44	2.91	0.93	0.0
ENSG00000097021	4.19	2.78	3.86	3.72	3.83
ENSG00000162408	2.53	2.86	2.8	0.0	1.39
ENSG00000041988	3.03	3.88	3.47	0.82	1.05
ENSG00000116288	2.76	2.18	2.69	3.14	2.85
ENSG00000074800	4.69	4.28	4.36	2.68	3.22
ENSG00000178585	0.33	1.83	2.03	1.49	1.0
ENSG00000054523	2.5	2.98	3.53	2.92	1.66
ENSG00000142657	2.32	3.96	4.07	0.16	0.34
ENSG00000160049	3.43	2.84	3.46	5.09	6.26
ENSG00000272078	6.36	4.55	5.31	5.76	6.26
ENSG00000120948	2.63	2.85	2.54	0.0	0.84
ENSG00000116649	3.46	4.18	4.58	2.92	3.77
ENSG00000171824	0.24	0.27	0.71	0.0	0.0
ENSG00000198793	3.53	2.18	2.79	3.23	2.97
ENSG00000120942	2.41	1.54	1.27	0.0	0.0
ENSG00000048707	0.22	2.36	1.98	0.0	0.0
ENSG00000116731	2.1	2.45	2.93	1.7	1.84
ENSG00000142634	0.46	2.0	1.8	2.5	1.53
ENSG00000178715	3.2	4.29	4.04	1.79	3.76
ENSG00000065526	3.98	4.0	3.0	0.0	1.61
ENSG00000116809	1.6	3.03	2.03	0.48	0.73
ENSG00000055070	3.71	2.53	3.63	3.19	5.23
ENSG00000080947	1.07	0.8	1.04	2.32	0.74
ENSG00000219481	4.27	2.89	3.39	2.9	2.66
ENSG00000215908	2.44	0.8	1.43	2.12	0.76
ENSG00000058453	1.88	0.83	1.06	1.15	0.17
ENSG00000159363	2.28	0.75	1.64	1.05	0.66
ENSG00000117118	1.21	0.96	0.58	0.0	0.0
ENSG00000117115	5.32	4.18	3.67	4.18	4.45
