	ML7Y	ML9Y	ML12Y	protein_cluster
TRINITY_DN0_c0_g1_i2	4148.55	460.72	713.58	4
TRINITY_DN0_c0_g2_i10	5897.16	655.54	1008.01	4
TRINITY_DN0_c0_g3_i1	4946.78	568.63	907.93	4
TRINITY_DN0_c2_g1_i1	5.26	0.45	1.57	4
TRINITY_DN0_c5_g1_i1	24.8	2.64	4	4
TRINITY_DN10000_c0_g2_i1	0	0.13	3.42	10
TRINITY_DN10000_c0_g3_i2	20.55	25.54	13.95	1
TRINITY_DN100019_c0_g1_i1	0.44	0.66	0.55	3
TRINITY_DN10001_c0_g3_i1	3.69	9.89	11.04	7
TRINITY_DN10001_c0_g4_i1	3.45	4.46	6.9	8
TRINITY_DN10001_c0_g5_i1	11.61	33.45	62.19	8
TRINITY_DN100032_c0_g1_i1	0	0.03	0	1
TRINITY_DN100048_c0_g1_i1	0	0	0.19	10
TRINITY_DN10004_c0_g1_i5	6.59	10.84	6.86	1
TRINITY_DN10004_c0_g2_i1	7.75	11.37	7.68	1
TRINITY_DN10004_c0_g6_i1	2.59	5.72	6.04	7
TRINITY_DN10005_c1_g1_i2	11.51	16.46	14.5	3
TRINITY_DN10007_c0_g1_i7	49.97	57.81	44.19	1
TRINITY_DN10007_c0_g2_i3	13.52	19	16.57	3
TRINITY_DN100080_c0_g1_i1	0	0.18	0.15	7
TRINITY_DN10008_c0_g1_i7	0.3	0.68	0.16	1
TRINITY_DN10008_c1_g1_i1	44.06	56.01	40.29	1
TRINITY_DN10008_c2_g1_i2	5.45	3.65	2.93	4
TRINITY_DN100096_c0_g1_i1	0.83	0.66	2.08	10
TRINITY_DN10009_c0_g1_i5	0.03	0.26	0.12	9
TRINITY_DN1000_c0_g1_i3	4.54	6.58	3	1
TRINITY_DN10010_c0_g1_i2	10.95	11.04	6.31	6
TRINITY_DN10010_c1_g1_i1	2.45	10.24	6.14	9
TRINITY_DN100113_c0_g1_i2	3.97	4.1	4.3	8
TRINITY_DN100113_c0_g2_i2	0.56	1.27	1.74	2
TRINITY_DN10011_c1_g1_i1	0.05	0.28	0.52	8
TRINITY_DN10011_c2_g1_i1	0.57	0.35	0.85	5
TRINITY_DN100121_c0_g1_i1	0.02	0.18	0.25	2
TRINITY_DN10013_c0_g1_i3	2.98	3.49	2.81	1
TRINITY_DN10014_c0_g1_i7	0.12	0.55	0.28	9
TRINITY_DN100156_c0_g1_i1	0.11	0.02	0.12	5
TRINITY_DN10015_c0_g1_i3	0.05	0.48	0.4	3
TRINITY_DN10016_c0_g1_i1	1.92	5.11	11.79	8
TRINITY_DN100172_c0_g1_i1	3.13	3.52	4.43	8
TRINITY_DN100172_c0_g2_i3	26.63	18.65	20.75	4
TRINITY_DN100177_c0_g1_i2	0.24	0.76	0.6	3
TRINITY_DN100177_c2_g1_i1	1.78	1.37	2.81	5
TRINITY_DN10017_c0_g1_i1	0.11	1.16	3.77	8
TRINITY_DN10017_c0_g2_i1	0.08	1.01	2.68	8
TRINITY_DN100187_c0_g2_i1	2.85	6.85	7.42	7
TRINITY_DN10018_c0_g1_i6	22.01	24.78	30.04	8
TRINITY_DN10018_c0_g2_i2	4.2	6.73	6.5	7
TRINITY_DN10019_c0_g1_i7	0	8.02	13.73	2
TRINITY_DN1001_c0_g1_i1	21.07	1.7	2.79	4
TRINITY_DN1001_c0_g3_i1	14.6	20.61	33.02	8
TRINITY_DN10020_c0_g2_i12	4.3	9.72	11.56	2
TRINITY_DN10020_c1_g1_i1	8.56	13.81	12.59	3
TRINITY_DN100210_c0_g1_i2	0.89	0.84	2.55	10
TRINITY_DN10021_c0_g1_i3	474.91	403.62	284.81	6
TRINITY_DN10021_c0_g2_i1	32.5	37.33	27	1
TRINITY_DN100236_c0_g1_i3	5.03	7.26	6.83	3
TRINITY_DN100236_c0_g2_i1	2.75	5.65	3.81	9
TRINITY_DN100251_c0_g1_i1	0	0.18	0.06	9
TRINITY_DN10025_c0_g1_i7	0	0	2.95	10
TRINITY_DN100260_c0_g1_i1	0.02	0.16	0.24	2
TRINITY_DN10026_c0_g1_i13	6.38	4.08	3.67	4
TRINITY_DN10027_c0_g1_i1	1.37	3.26	3.63	7
TRINITY_DN10027_c0_g2_i1	19.38	17.92	12.24	6
TRINITY_DN10028_c0_g1_i1	0	0.12	0.02	1
TRINITY_DN100293_c0_g2_i1	10.5	15.02	11.28	9
TRINITY_DN10029_c0_g1_i2	16.36	11.81	11.77	4
TRINITY_DN1002_c0_g1_i1	119.54	162.45	103.09	1
TRINITY_DN1002_c1_g1_i1	7.57	33.33	25.28	3
TRINITY_DN1002_c1_g2_i2	4.36	5	5.35	2
TRINITY_DN10030_c0_g2_i7	305.38	224.37	177.12	4
TRINITY_DN10030_c0_g3_i1	10.06	11.23	7.52	6
TRINITY_DN10030_c0_g4_i1	20.99	21	16.47	6
TRINITY_DN10031_c0_g1_i1	0	6.55	0.08	1
TRINITY_DN10032_c0_g1_i1	6.96	12.64	8.66	9
TRINITY_DN10032_c0_g2_i1	14.16	20.6	22.42	2
TRINITY_DN10032_c0_g4_i1	1.06	1.63	1.07	1
TRINITY_DN10032_c0_g6_i1	0.34	1.39	1.21	7
