GeneID	M0	ML4	ML7
TRINITY_DN0_c0_g1_i2	12505.10 	2843.73 	5215.71 
TRINITY_DN0_c0_g2_i10	16201.67 	6526.02 	12672.91 
TRINITY_DN0_c0_g3_i1	14742.49 	3582.69 	6388.77 
TRINITY_DN0_c2_g1_i1	8.08 	33.52 	179.39 
TRINITY_DN0_c5_g1_i1	61.35 	23.33 	53.65 
TRINITY_DN10000_c0_g2_i1	0.00 	0.00 	0.00 
TRINITY_DN10000_c0_g3_i2	0.11 	0.89 	0.70 
TRINITY_DN100014_c0_g2_i2	4.73 	2.63 	5.79 
TRINITY_DN100019_c0_g1_i1	0.00 	0.40 	8.47 
TRINITY_DN10001_c0_g3_i1	5.15 	20.03 	5.04 
TRINITY_DN10001_c0_g4_i1	51.50 	1.53 	0.38 
TRINITY_DN10001_c0_g5_i1	1.39 	8.65 	4.51 
TRINITY_DN100032_c0_g1_i1	5.11 	3.85 	6.27 
TRINITY_DN100048_c0_g1_i1	0.00 	0.40 	4.52 
TRINITY_DN10004_c0_g1_i5	0.08 	1.60 	2.24 
TRINITY_DN10004_c0_g2_i1	5.15 	7.52 	3.47 
TRINITY_DN10004_c0_g6_i1	0.12 	1.94 	1.52 
TRINITY_DN10005_c1_g1_i2	3.90 	5.96 	3.35 
TRINITY_DN10007_c0_g1_i7	65.53 	74.15 	54.48 
TRINITY_DN10007_c0_g2_i3	11.11 	20.03 	8.57 
TRINITY_DN100080_c0_g1_i1	0.00 	0.00 	5.55 
TRINITY_DN10008_c0_g1_i7	3.89 	2.98 	2.51 
TRINITY_DN10008_c1_g1_i1	45.25 	57.12 	24.45 
TRINITY_DN10008_c2_g1_i2	0.16 	2.90 	1.41 
TRINITY_DN100096_c0_g1_i1	0.36 	4.87 	51.09 
TRINITY_DN10009_c0_g1_i5	0.00 	4.26 	8.24 
TRINITY_DN1000_c0_g1_i3	0.33 	108.78 	148.64 
TRINITY_DN10010_c0_g1_i2	5.26 	13.69 	8.56 
TRINITY_DN10010_c1_g1_i1	0.32 	3.85 	4.77 
TRINITY_DN100113_c0_g1_i2	2.56 	3.90 	1.24 
TRINITY_DN100113_c0_g2_i2	0.04 	0.55 	0.07 
TRINITY_DN10011_c1_g1_i1	0.00 	0.39 	18.24 
TRINITY_DN10011_c2_g1_i1	0.00 	0.06 	11.65 
TRINITY_DN100121_c0_g1_i1	0.20 	5.71 	22.25 
TRINITY_DN10013_c0_g1_i3	0.95 	9.27 	5.32 
TRINITY_DN10014_c0_g1_i7	0.00 	5.04 	14.17 
TRINITY_DN100156_c0_g1_i1	2.38 	3.02 	6.03 
TRINITY_DN10015_c0_g1_i3	4.28 	8.99 	13.51 
TRINITY_DN10016_c0_g1_i1	5.12 	2.12 	1.21 
TRINITY_DN100172_c0_g1_i1	0.47 	3.69 	1.29 
TRINITY_DN100172_c0_g2_i3	5.41 	23.01 	10.20 
TRINITY_DN100177_c0_g1_i2	0.00 	1.43 	23.27 
TRINITY_DN100177_c2_g1_i1	0.00 	0.31 	24.51 
TRINITY_DN10017_c0_g1_i1	0.00 	6.05 	0.00 
TRINITY_DN10017_c0_g2_i1	0.00 	0.39 	0.00 
TRINITY_DN100187_c0_g2_i1	0.27 	1.46 	1.14 
TRINITY_DN10018_c0_g1_i6	4.80 	17.05 	4.45 
TRINITY_DN10018_c0_g2_i2	1.42 	4.12 	0.86 
