	N5	N5Y	N9	N9Y	N16	N16Y	cluster
TRINITY_DN100000_c0_g1_i1	0.043333333	0.346666667	0	0	0	0	9
TRINITY_DN100002_c0_g1_i1	1.56	0	0.06	0	0.073333333	0	6
TRINITY_DN100004_c0_g1_i1	0.743333333	12.23666667	0.44	5.45	17.81666667	9.343333333	10
TRINITY_DN10000_c0_g1_i1	2.383333333	2.146666667	1.663333333	2.696666667	1.94	2.263333333	8
TRINITY_DN10001_c0_g2_i3	12.28666667	10.30666667	11.63	9.08	8.21	6.91	1
TRINITY_DN100022_c0_g1_i1	7.053333333	17.43666667	13.26666667	120.3066667	69.25666667	211.2066667	4
TRINITY_DN10002_c0_g1_i1	0.653333333	4.003333333	1.61	0.433333333	0.82	1.123333333	9
TRINITY_DN100031_c0_g1_i1	0	0.643333333	3.92	0.223333333	4.606666667	0.723333333	2
TRINITY_DN100049_c0_g1_i1	0.046666667	0	15.45333333	1.263333333	21.94666667	0.356666667	2
TRINITY_DN10004_c0_g1_i1	23.92333333	17.54666667	16.37666667	14.35666667	17.00666667	15.84333333	6
TRINITY_DN10005_c0_g2_i2	19.40666667	14.29	12.94666667	9.073333333	10.26666667	5.866666667	1
TRINITY_DN100067_c0_g1_i1	36.78333333	30.25	22.92666667	10.08333333	12.38666667	12.48333333	1
TRINITY_DN100081_c0_g1_i1	0	0.06	0.636666667	0.053333333	3.193333333	0.176666667	10
TRINITY_DN100085_c0_g1_i1	12.33333333	0	0.363333333	0	0.103333333	0.073333333	6
TRINITY_DN10008_c0_g1_i3	18.93	9.316666667	29.2	9.116666667	13.72666667	3.266666667	3
TRINITY_DN100094_c0_g1_i1	0	0	0.093333333	0	0	0	3
TRINITY_DN100095_c0_g1_i1	0	0.066666667	0.63	0.073333333	2.166666667	0.1	10
TRINITY_DN10009_c0_g1_i1	0	0	5.25	0.253333333	0.443333333	0	3
TRINITY_DN1000_c1_g1_i1	33	24.72666667	20.58	7.71	9.436666667	7.16	1
TRINITY_DN100103_c0_g1_i1	13.59	0	0.056666667	0.053333333	0.053333333	0.043333333	6
TRINITY_DN10010_c0_g1_i1	3.773333333	6.883333333	5.043333333	1.953333333	5.436666667	6.176666667	9
TRINITY_DN10010_c0_g2_i3	4.956666667	3.246666667	4.476666667	2.263333333	2.1	2.27	5
TRINITY_DN10010_c0_g3_i1	5.023333333	3.093333333	4.613333333	2.706666667	3.646666667	1.616666667	5
TRINITY_DN10010_c1_g1_i1	2.6	6.926666667	4.933333333	15.75	21.04	34.03	4
TRINITY_DN10011_c0_g1_i3	5.266666667	6.096666667	7.443333333	5.05	7.656666667	3.423333333	2
TRINITY_DN10012_c0_g1_i3	72.86666667	76.33	62.13	46.47666667	51.37	39.37333333	1
TRINITY_DN10012_c0_g2_i1	3.913333333	6.006666667	6.03	1.616666667	3.636666667	3.616666667	1
TRINITY_DN100137_c0_g1_i1	0.033333333	0.33	0.096666667	0	0	0	9
TRINITY_DN10014_c0_g2_i2	134.63	158.23	88.89	36.62666667	56.27	24.32	7
TRINITY_DN10015_c0_g1_i2	1.156666667	0.156666667	37.84	1.646666667	16.32	0.493333333	3
TRINITY_DN10016_c0_g2_i1	6.796666667	0	0	0	0	0	6
TRINITY_DN100174_c0_g1_i1	3.186666667	4.023333333	3.6	53.15666667	26.30333333	36.46666667	8
TRINITY_DN100187_c0_g1_i1	1.236666667	0	0	0	0.05	0	6
TRINITY_DN1001_c0_g1_i1	51.36	36.59333333	38.92333333	44.59666667	37.34666667	32.93	6
TRINITY_DN1001_c0_g2_i1	36.30666667	22.63333333	21.62	21.26	21.04666667	14.24	6
TRINITY_DN10020_c0_g1_i2	6.193333333	0	0	0	0	0	6
TRINITY_DN100212_c0_g1_i1	4.47	0	0.073333333	0	0.086666667	0.023333333	6
TRINITY_DN100215_c0_g1_i1	0	0.29	0	0	0	0	9
TRINITY_DN100240_c0_g1_i1	0.02	0.076666667	0.936666667	0.216666667	3.16	0.186666667	10
TRINITY_DN10024_c0_g2_i1	21.82666667	12.35333333	31.11666667	9.213333333	19.13333333	7.11	3
TRINITY_DN10024_c1_g2_i1	5.77	24.67	24.20333333	15.53666667	30.12333333	30.36666667	2
TRINITY_DN10024_c2_g1_i1	16.38666667	16.34	11.21666667	54.13333333	39.17333333	48.39	8
TRINITY_DN10024_c3_g1_i1	6.933333333	14.25666667	23.24	15.35333333	12.83333333	29.38666667	4
TRINITY_DN10025_c0_g1_i1	0.206666667	0.476666667	0	0	0	0	7
TRINITY_DN100260_c0_g1_i1	0	0.59	0	0	0	0	9
TRINITY_DN100263_c0_g1_i1	0.073333333	0.38	0	0	0	0	9
TRINITY_DN10026_c0_g1_i1	26.95333333	34.93333333	18.97	20.71	21.10333333	22.56	7
TRINITY_DN100278_c0_g1_i1	12.4	0	0.08	0.133333333	0.086666667	0	6
TRINITY_DN1002_c0_g1_i3	4.41	3.613333333	2.78	5.083333333	3.863333333	3.886666667	8
TRINITY_DN1002_c1_g1_i1	28.97	15.47333333	16.14	8.8	13.54666667	10.42333333	6
TRINITY_DN10031_c0_g1_i3	68.58666667	64.90666667	49.69333333	36.94333333	35.53666667	30.59666667	1
TRINITY_DN10032_c0_g1_i1	0	0	5.776666667	0.073333333	0	0	3
TRINITY_DN100332_c0_g1_i1	0	1.593333333	0	0	0	0	9
TRINITY_DN10033_c0_g1_i1	37.64	59.37666667	31.53333333	25.63666667	28.13	23.73	9
TRINITY_DN10033_c0_g3_i1	38.31	53.47333333	30.01	41.42333333	41.89	36.59333333	9
TRINITY_DN100347_c0_g1_i1	5.49	0	0.026666667	0	0.033333333	0	6
TRINITY_DN100349_c0_g1_i1	14.08333333	2.66	4.773333333	0.253333333	0.576666667	0	6
TRINITY_DN100351_c0_g1_i1	14.28333333	26.39666667	11.98666667	50.42	36.70666667	47.53	8
TRINITY_DN100355_c0_g1_i1	8.91	4.996666667	4.143333333	6.283333333	6.876666667	7.37	6
TRINITY_DN10035_c0_g2_i1	16.35333333	9.896666667	11.43	3.97	5.87	5.416666667	1
TRINITY_DN100386_c0_g1_i1	0.186666667	0.49	0.14	0	0	0	9
TRINITY_DN10038_c0_g1_i1	1.546666667	0	0	0	0	0	6
TRINITY_DN10039_c0_g1_i2	201.1966667	54.93333333	126.41	26.73333333	30.81666667	30.95333333	5
TRINITY_DN10039_c0_g3_i2	2.03	0.24	1.42	0.243333333	0.816666667	0.216666667	5
TRINITY_DN1003_c0_g1_i1	0.17	0.74	0	0	0	0	9
TRINITY_DN1003_c1_g1_i1	0.156666667	0.843333333	0	0	0	0	9
TRINITY_DN1003_c2_g1_i1	0.073333333	0.96	0	0	0	0	9
TRINITY_DN100408_c0_g1_i1	0	0	0.136666667	9.343333333	3.653333333	57.68	4
TRINITY_DN10040_c0_g1_i1	10.36333333	8.06	6.226666667	1.783333333	2.433333333	1.963333333	1
TRINITY_DN100462_c0_g1_i1	27.16	0	0.44	0.13	0.523333333	0.083333333	6
TRINITY_DN100467_c0_g1_i1	4.14	0	0.033333333	0	0	0	6
TRINITY_DN10046_c0_g1_i1	94.8	66.09666667	85.89666667	73.09	62.07333333	100.1766667	6
TRINITY_DN10047_c0_g2_i1	0.11	0.56	0.033333333	0	0	0	9
