GeneID	A_p_phase	B_p_phase	C_p_phase	D_p_phase	E_p_phase	F_p_phase	A_I_phase_1	A_I_phase_2	D_I_phase_1	D_I_phase_2	A_R1_phase	D_R1_phase	B_R_phase	C_R_phase	D_R_phase	E_R_phase	D_end	F_end	E_end
ENSG00000227232	3.7986534	4.0944624	3.3496728	2.0106325	3.6978195	3.7620208	4.299565	4.30652	3.1085558	3.0820565	4.4492354	2.9229276	2.883552	2.3653643	3.0778573	2.9922173	3.2147987	4.013324	3.764088
ENSG00000233750	1.5171797	1.6081016	1.4114064	0	2.680176	0.66988677	1.6862193	1.5648879	0.39258826	2.0241523	1.2893457	1.1815588	1.8741956	2.354894	2.3856256	0	1.9137126	0.6627572	1.5606097
ENSG00000241860	3.0556133	3.306996	2.755312	0	6.000903	2.029412	1.4766936	2.5298629	2.7963946	4.1465716	6.6219854	3.2674801	5.2016344	5.418276	4.936995	4.260812	6.051217	2.6148014	3.682839
ENSG00000279457	1.9997537	2.218525	2.3672547	0.19337526	2.335308	2.6823363	2.5207376	2.549457	0.36593166	1.9480177	1.6472611	1.9726539	1.4044124	0.9860947	2.127045	0.9352513	1.5041647	2.2892556	2.1916113
ENSG00000237094	0.10383461	0.3039227	0.6359348	0	2.6901639	0.22771023	0.2521698	0.6608293	0.8729215	2.387264	3.8891826	1.023685	1.7269207	2.0097783	2.7244165	0.92375344	2.8722217	0.001313865	0.3956893
ENSG00000225972	9.736786	10.0521145	7.6192484	3.4813452	8.511094	8.389935	7.317403	8.16979	7.719009	7.3435884	10.965956	7.161383	7.875021	6.894829	5.1346145	8.452045	7.543767	9.455721	10.00183
ENSG00000225630	10.821492	11.528348	8.192016	3.1815212	9.183444	9.621291	8.120182	9.161811	9.124396	8.56723	11.710535	8.0780325	8.33223	7.387733	6.7681108	9.503571	8.120468	10.884061	10.461144
ENSG00000237973	12.148054	12.180818	11.7468	7.2527566	12.66142	11.5271	10.704901	10.994584	11.288971	10.942665	12.578189	12.026075	10.906453	11.600641	10.318293	13.061671	11.349799	11.998343	12.567599
ENSG00000229344	9.945035	10.754849	8.581523	4.809627	9.337453	9.545513	8.589881	9.121251	10.488134	8.978547	10.938511	8.048795	8.24134	7.7787156	5.932296	9.787247	8.287043	10.540102	10.424553
ENSG00000240409	9.591482	10.593476	7.8261185	2.3681297	8.445278	8.702981	6.0284557	7.2813587	7.9265666	7.102616	11.339031	7.0787315	7.135063	6.481731	4.436264	7.4890275	7.6310263	9.793015	9.628058
ENSG00000248527	10.85154	11.831996	8.688706	4.10924	9.889772	9.917522	8.29026	9.249245	9.577384	9.224446	11.993996	8.422723	8.380942	7.1990647	6.3359284	9.0597	8.654757	11.242359	10.872708
ENSG00000198744	9.9041195	10.770312	8.93479	5.142078	10.503729	10.388588	9.322377	9.526372	10.099403	9.079452	11.171648	8.486847	8.718236	9.244233	7.118661	11.858981	8.152292	11.317888	11.052217
ENSG00000228327	2.221331	2.6026525	2.137857	1.0944632	4.05364	2.166647	2.9951837	3.5278862	2.2001193	3.382632	4.3775177	2.2743797	3.689318	3.6371005	3.5424006	2.3474038	4.164929	1.9167467	2.4238396
ENSG00000228794	1.1219677	0.47677785	1.3322558	0	0.49037266	0.33591506	0	0	0.55808926	0.65731335	0.8906252	0.8280419	0	0	0	0	0	0.48881444	0.8178001
ENSG00000188976	4.855274	4.566026	4.5999165	0.7944723	3.4365485	4.321679	3.9859736	3.775559	1.4678384	1.893682	2.771468	2.3096235	2.0773938	2.681663	2.1179962	2.8615766	2.0454786	4.2505965	4.077831
ENSG00000187608	5.256569	5.3321633	6.923575	2.8016748	3.2503917	4.0088425	5.5072503	4.7752113	0.78190225	1.9512266	1.1073736	4.279319	4.654012	5.029895	9.637721	4.3537273	0.8064308	2.9674132	5.1594296
