GeneID	A_R1_phase	D_I_phase_1	E_R_phase	D_p_phase	D_I_phase_2	D_R1_phase	D_R_phase	D_end	F_p_phase	F_end	E_p_phase	E_end	A_p_phase	A_I_phase_1	A_I_phase_2	C_p_phase	C_R_phase	B_p_phase	B_R_phase	A_R1_phase	D_I_phase_1	E_R_phase	D_p_phase	D_I_phase_2	D_R1_phase	D_R_phase	D_end	F_p_phase	F_end	E_p_phase	E_end	A_p_phase	A_I_phase_1	A_I_phase_2	C_p_phase	C_R_phase	B_p_phase	B_R_phase
ENSG00000227232	1077 	392 	460 	278 	464 	541 	588 	579 	1336 	990 	847 	810 	863 	1660 	1283 	625 	442 	975 	490 	4 	3 	3 	2 	3 	3 	3 	3 	4 	4 	4 	4 	4 	4 	4 	3 	2 	4 	3 
ENSG00000233750	340 	169 	121 	71 	629 	456 	1027 	663 	442 	274 	1180 	496 	501 	765 	541 	460 	1237 	491 	687 	1 	0 	0 	0 	2 	1 	2 	2 	1 	1 	3 	2 	2 	2 	2 	1 	2 	2 	2 
ENSG00000241860	22271 	1449 	5086 	276 	4451 	3148 	9785 	18972 	1844 	1722 	19164 	3510 	2364 	1076 	1717 	1899 	16802 	2589 	11211 	7 	3 	4 	0 	4 	3 	5 	6 	2 	3 	6 	4 	3 	1 	3 	3 	5 	3 	5 
ENSG00000279457	227 	86 	162 	116 	310 	411 	446 	260 	927 	440 	483 	399 	364 	710 	557 	464 	249 	390 	258 	2 	0 	1 	0 	2 	2 	2 	2 	3 	2 	2 	2 	2 	3 	3 	2 	1 	2 	1 
ENSG00000237094	2592 	296 	389 	184 	1017 	514 	1633 	1620 	409 	218 	1494 	278 	236 	356 	364 	338 	1224 	250 	780 	4 	1 	1 	0 	2 	1 	3 	3 	0 	0 	3 	0 	0 	0 	1 	1 	2 	0 	2 
ENSG00000225972	27159 	2639 	5580 	212 	2451 	2810 	674 	3206 	9097 	11851 	6556 	16828 	14566 	3702 	5141 	3320 	2808 	16678 	4294 	11 	8 	8 	3 	7 	7 	5 	8 	8 	9 	9 	10 	10 	7 	8 	8 	7 	10 	8 
ENSG00000225630	127706 	19619 	32456 	484 	16066 	14887 	5867 	13417 	59944 	89516 	29322 	64930 	86701 	18124 	28695 	13858 	11089 	130222 	16546 	12 	9 	10 	3 	9 	8 	7 	8 	10 	11 	9 	10 	11 	8 	9 	8 	7 	12 	8 
ENSG00000237973	344404 	130002 	565010 	12033 	123211 	339592 	101578 	185977 	331981 	286416 	482868 	413253 	321385 	160692 	151075 	240688 	303919 	302527 	145638 	13 	11 	13 	7 	11 	12 	10 	11 	12 	12 	13 	13 	12 	11 	11 	12 	12 	12 	11 
ENSG00000229344	48853 	32983 	25809 	978 	13958 	9530 	2147 	9838 	37155 	46073 	21312 	41354 	30851 	16396 	18226 	11859 	9499 	49765 	10149 	11 	10 	10 	5 	9 	8 	6 	8 	10 	11 	9 	10 	10 	9 	9 	9 	8 	11 	8 
ENSG00000240409	19573 	1696 	1593 	55 	1154 	1477 	231 	1895 	6289 	8332 	3485 	7227 	7329 	843 	1545 	2132 	1173 	13506 	1431 	11 	8 	7 	2 	7 	7 	4 	8 	9 	10 	8 	10 	10 	6 	7 	8 	6 	11 	7 
ENSG00000248527	101389 	17518 	15564 	601 	16527 	12332 	2836 	12675 	48014 	74852 	31208 	56336 	57745 	13301 	19887 	12754 	6346 	104843 	11164 	12 	10 	9 	4 	9 	8 	6 	9 	10 	11 	10 	11 	11 	8 	9 	9 	7 	12 	8 
ENSG00000198744	46055 	20206 	87022 	988 	12006 	10355 	3920 	7187 	53457 	63355 	38364 	51246 	24052 	21849 	19357 	12150 	21039 	40344 	11329 	11 	10 	12 	5 	9 	8 	7 	8 	10 	11 	11 	11 	10 	9 	10 	9 	9 	11 	9 
ENSG00000228327	4880 	995 	1402 	702 	2722 	1642 	3864 	5328 	2105 	1102 	5160 	1523 	1376 	3200 	3560 	1285 	5075 	1650 	4080 	4 	2 	2 	1 	3 	2 	4 	4 	2 	2 	4 	2 	2 	3 	4 	2 	4 	3 	4 
ENSG00000228794	641 	469 	332 	71 	606 	887 	326 	360 	871 	603 	643 	736 	946 	444 	367 	1082 	422 	557 	332 	1 	1 	0 	0 	1 	1 	0 	0 	0 	0 	0 	1 	1 	0 	0 	1 	0 	0 	0 
ENSG00000188976	1380 	516 	1724 	491 	835 	1449 	1240 	1056 	8075 	4784 	2897 	4127 	7358 	5476 	3640 	6097 	2254 	5540 	1150 	3 	1 	3 	1 	2 	2 	2 	2 	4 	4 	3 	4 	5 	4 	4 	5 	3 	5 	2 
ENSG00000187608	74 	54 	824 	335 	148 	964 	38650 	76 	1104 	334 	433 	1484 	1651 	2670 	1237 	5185 	1950 	1601 	1165 	1 	1 	4 	3 	2 	4 	10 	1 	4 	3 	3 	5 	5 	6 	5 	7 	5 	5 	5 
ENSG00000188157	190 	125 	109 	219 	283 	262 	2551 	62 	952 	569 	419 	453 	692 	751 	422 	1356 	416 	1023 	183 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	1 	0 
ENSG00000131591	106 	74 	78 	445 	166 	330 	90 	54 	1211 	500 	260 	295 	573 	638 	485 	475 	213 	469 	140 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	0 	0 	1 	1 	1 	1 	0 	1 	0 
ENSG00000078808	1734 	626 	2660 	652 	956 	2764 	5022 	3512 	6858 	4171 	4342 	3658 	4533 	4529 	4995 	4505 	5105 	4014 	4199 	3 	2 	4 	1 	2 	3 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 	4 
ENSG00000176022	290 	304 	316 	225 	358 	1053 	582 	83 	2678 	1351 	414 	608 	1811 	1276 	1267 	2360 	590 	2440 	370 	2 	2 	1 	1 	2 	3 	2 	0 	4 	3 	2 	2 	4 	3 	3 	4 	2 	4 	1 
ENSG00000160087	388 	272 	1169 	512 	805 	1385 	2435 	1641 	2714 	1379 	1690 	1574 	2311 	2916 	2319 	2717 	2154 	1513 	1473 	1 	1 	3 	1 	2 	2 	3 	3 	3 	3 	3 	3 	3 	3 	3 	4 	3 	3 	3 
ENSG00000131584	434 	334 	360 	975 	1659 	1269 	823 	596 	3155 	2184 	1106 	2209 	1656 	5086 	3012 	2791 	542 	2804 	577 	0 	0 	0 	1 	2 	1 	1 	1 	2 	2 	1 	3 	2 	3 	3 	3 	0 	3 	0 
ENSG00000169972	109 	55 	77 	138 	207 	267 	1082 	120 	726 	317 	307 	149 	387 	470 	255 	542 	255 	283 	288 	0 	0 	0 	0 	1 	1 	3 	0 	2 	1 	1 	0 	2 	2 	1 	2 	1 	1 	1 
