Time	0	1	2	3	4
ENSG00000227232	4.7352364	3.1085558	3.0820565	2.9976674	3.664070233
ENSG00000233750	1.675031385	0.39258826	2.0241523	1.189061467	1.3790265
ENSG00000241860	4.0151575	2.7963946	4.1465716	4.1550957	4.1162858
ENSG00000279457	2.60550978	0.36593166	1.9480177	1.678316733	1.995010533
ENSG00000237094	1.458937065	0.8729215	2.387264	1.55728498	1.089741622
ENSG00000225972	10.1911871	7.719009	7.3435884	6.916014167	9.000439333
ENSG00000225630	10.9931281	9.124396	8.56723	8.116571433	9.821891
ENSG00000237973	15.7206383	11.288971	10.942665	11.802013	11.97191367
ENSG00000229344	11.8462965	10.488134	8.978547	7.922779333	9.750566
ENSG00000240409	9.75819435	7.9265666	7.102616	6.334674333	9.017366433
ENSG00000248527	11.958267	9.577384	9.224446	7.939450467	10.256608
ENSG00000198744	13.0171975	10.099403	9.079452	9.154829667	10.17413233
ENSG00000228327	3.6573751	2.2001193	3.382632	2.7213947	2.835171767
ENSG00000228794	0.41314386	0.55808926	0.65731335	0.276013967	0.43553818
ENSG00000188976	4.2763499	1.4678384	1.893682	2.4297321	3.4579687
ENSG00000187608	5.0304545	0.78190225	1.9512266	6.090255767	2.977757867
ENSG00000188157	0.139739765	0	0	0.733813333	0.073916747
ENSG00000131591	0.926809465	0	0	0	0.293820463
ENSG00000078808	5.00635595	1.9808252	2.3234391	3.855667633	4.1460576
ENSG00000176022	3.00671122	1.7009319	1.6691447	2.092580967	1.911327267
ENSG00000160087	3.48112665	0.7753437	2.073704	2.778968733	2.841597267
ENSG00000131584	2.3940649	0.17327225	2.2144792	0.768568287	1.8361222
ENSG00000169972	1.738900268	0	1.0362318	1.3665745	0.663437633
ENSG00000127054	3.870754065	1.3406813	2.0466776	2.5730425	3.1658523
ENSG00000224051	4.1278969	1.6434411	1.7669731	2.7880135	2.6574506
ENSG00000107404	2.86197025	0.24660072	0.83484846	1.137933823	2.115195847
ENSG00000221978	3.238392225	2.4104125	2.9098837	1.639890833	3.105840167
ENSG00000224870	3.5793319	1.0473727	1.9935787	2.275232367	2.728788867
ENSG00000242485	3.583050985	1.6412446	2.9466221	2.801977467	3.233838633
ENSG00000272455	2.639797952	2.8780367	3.4706757	2.2374794	2.985589233
ENSG00000160072	3.33796827	1.043907	2.1648324	0.409893767	1.136468767
ENSG00000160075	3.85582322	2.4318213	2.860139	3.758450033	3.949308067
ENSG00000272106	1.95526595	0.3047652	1.2534305	1.331101133	1.975312933
ENSG00000197530	3.13985565	0.6866026	1.9473562	1.1711689	2.030832967
ENSG00000248333	2.69887125	1.6472266	1.7858167	2.382269867	2.6218363
ENSG00000189339	5.01540055	2.6450913	3.6650562	3.528888067	4.126043267
ENSG00000008128	0.294933	0	1.1069303	0.397465867	0.6792035
ENSG00000268575	1.57367305	1.2351342	1.5292346	1.3281737	2.2880739
ENSG00000215790	2.31748632	0.9735371	1.5891784	1.319156847	1.475671533
ENSG00000008130	4.92675165	3.4767706	3.7336483	5.979631	3.840978233
ENSG00000078369	6.8772773	4.4060874	4.414127	6.032953733	6.328751867
ENSG00000162585	2.235183085	0	0.47053775	0.692790917	1.930840143
ENSG00000157933	3.6960099	1.5633104	2.1292846	3.6437618	3.948544633
ENSG00000116151	0	0	0	0	0
ENSG00000157916	3.34945755	1.879454	2.2086494	2.913894967	3.019262967
ENSG00000157911	1.387933051	1.0788559	1.8118817	1.218835067	1.388471533
ENSG00000149527	0.072819715	0	1.2280787	0.069123557	0.207560167
ENSG00000157881	2.4691711	1.2342805	1.8440987	2.049936367	1.604415757
ENSG00000238164	0.9255934	0	0.45213526	1.6381068	0.666471608
ENSG00000157873	4.57028815	1.4924262	3.1917856	3.769014933	3.286302233
ENSG00000157870	3.097273	0.81244314	1.8593931	0.937361767	2.36297365
ENSG00000162591	2.7315506	0.8086989	2.6582034	1.1961703	1.24276816
ENSG00000158109	4.04895735	2.5212502	3.0445094	4.775182467	3.324353
ENSG00000116213	1.3091161	0.003958592	0.73087287	0.326239103	0.425385753
ENSG00000130764	3.96409047	2.2959878	2.3443708	3.082250033	3.206438233
ENSG00000116198	1.97935575	1.3564461	1.6029115	1.080606967	1.772993833
ENSG00000169598	1.044531015	0.6567574	1.4396276	0.707990733	1.912642767
ENSG00000198912	1.8490741	0.8309719	1.7522196	1.139873567	1.894166277
ENSG00000131697	0.998016965	0	0.6525266	0	0.830356267
ENSG00000069424	6.49573065	2.4141307	4.165843	4.427439867	4.9464811
