entry	name	definition	c_number	r_number
M00001	Glycolysis_Embden_Meyerhof_pathway_glucose_pyruvate	K00844;K12407;K00845;K25026;K00886;K08074;K00918;K01810;K06859;K13810;K15916;K00850;K16370;K21071;K00918;K01623;K01624;K11645;K16305;K16306;K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406	C00236;C00074;C00022;C00197;C00631;C00354;C00118;C00267;C00085;C00111;C00668	R01786;R09085;R13199;R07159;R05805;R01061;R01512;R00200;R01063;R01070;R02189;R00756;R01518;R00658;R01015
M00002	Glycolysis_core_module_involving_three_carbon_compounds	K01803;K00134;K00150;K00927;K11389;K01834;K15633;K15634;K15635;K01689;K00873;K12406	C00236;C00074;C00022;C00197;C00631;C00118;C00111	R07159;R01512;R01061;R00200;R01063;R00658;R01518;R01015
M00003	Gluconeogenesis_oxaloacetate_fructose_6P	K01596;K01610;K01689;K01834;K15633;K15634;K15635;K00927;K00134;K00150;K01803;K01623;K01624;K11645;K03841;K02446;K11532;K01086;K04041;K01622	C00036;C00074;C00236;C00197;C00631;C00118;C00354;C00085;C00111	R00341;R00762;R00726;R01512;R01061;R01063;R01070;R00658;R01518;R00431;R01015
M00004	Pentose_phosphate_pathway_Pentose_phosphate_cycle	K13937;K00036;K19243;K01057;K07404;K00033;K01783;K01807;K01808;K00615;K00616;K01810;K06859;K15916;K13810	C00345;C05382;C00279;C01236;C00231;C00118;C00085;C00199;C00668;C00117;C01172	R13199;R01641;R01529;R02739;R02736;R08575;R01056;R10907;R01528;R02035;R10221;R01067
M00005	PRPP_biosynthesis_ribose_5P_PRPP	K00948	C00117;C00119	R01049
M00006	Pentose_phosphate_pathway_oxidative_phase_glucose_6P_ribulose_5P	K13937;K00036;K19243;K01057;K07404;K00033	C01236;C00345;C01172;C00199	R02736;R10907;R01528;R02035;R10221
M00007	Pentose_phosphate_pathway_non_oxidative_phase_fructose_6P_ribose_5P	K00615;K00616;K13810;K01783;K01807;K01808	C05382;C00279;C00231;C00118;C00085;C00199;C00117	R01641;R01529;R08575;R01056;R01067
M00008	Entner_Doudoroff_pathway_glucose_6P_glyceraldehyde_3P_pyruvate	K00036;K01057;K07404;K01690;K01625	C00345;C00022;C01236;C00118;C01172;C04442	R02036;R02736;R02035;R05605
M00009	Citrate_cycle_TCA_cycle_Krebs_cycle	K01647;K05942;K01681;K01682;K00031;K00030;K00164;K00658;K01616;K00382;K00174;K00175;K00177;K00176;K01902;K01903;K01899;K01900;K18118;K00234;K00235;K00236;K00237;K25801;K00239;K00240;K00241;K00242;K18859;K18860;K00244;K00245;K00246;K00247;K01676;K01679;K01677;K01678;K00026;K00025;K00024;K00116	C00036;C16254;C00026;C15972;C00122;C15973;C00158;C00091;C00149;C00042;C00024;C00311	R00432;R02570;R03316;R00342;R00727;R01324;R01700;R00351;R00405;R01197;R00268;R00267;R01082;R00709;R01899;R01900;R00621;R10343;R07618;R01325;R00361;R02164
M00010	Citrate_cycle_first_carbon_oxidation_oxaloacetate_2_oxoglutarate	K01647;K05942;K01681;K01682;K00031;K00030	C00036;C00026;C00158;C00024;C00311	R00268;R00267;R01324;R00709;R00351;R01325;R01899;R01900
