Genus_name	Division_name
Azorhizobium	Bacteria
Buchnera	Bacteria
Cellulomonas	Bacteria
Dictyoglomus	Bacteria
Methylophilus	Bacteria
Syntrophotalea	Bacteria
Phenylobacterium	Bacteria
Shewanella	Bacteria
halophilic	Bacteria
Myxococcus	Bacteria
Corallococcus	Bacteria
Archangium	Bacteria
Stigmatella	Bacteria
Cystobacter	Bacteria
Melittangium	Bacteria
Chondromyces	Bacteria
Nannocystis	Bacteria
Sorangium	Bacteria
Polyangium	Bacteria
Vitreoscilla	Bacteria
Herpetosiphon	Bacteria
Lysobacter	Bacteria
Simonsiella	Bacteria
Caulobacter	Bacteria
Hyphomicrobium	Bacteria
Hyphomonas	Bacteria
Leptothrix	Bacteria
Stella	Bacteria
Gallionella	Bacteria
Ancylobacter	Bacteria
Polaribacter	Bacteria
Flectobacillus	Bacteria
Cyclobacterium	Bacteria
Runella	Bacteria
Spirosoma	Bacteria
Xanthobacter	Bacteria
Gemmata	Bacteria
Pirellula	Bacteria
Rubinisphaera	Bacteria
Planctopirus	Bacteria
Gimesia	Bacteria
Blastopirellula	Bacteria
Isosphaera	Bacteria
Tuberoidobacter	Bacteria
Methylocystis	Bacteria
Borreliella	Bacteria
Borrelia	Bacteria
Spirochaeta	Bacteria
Sediminispirochaeta	Bacteria
Oceanispirochaeta	Bacteria
Zuelzera	Bacteria
Teretinema	Bacteria
Treponema	Bacteria
Brachyspira	Bacteria
Leptospira	Bacteria
Leptospirillum	Bacteria
Leptonema	Bacteria
wall-less	Bacteria
Paramagnetospirillum	Bacteria
Novispirillum	Bacteria
Aquaspirillum	Bacteria
Azospirillum	Bacteria
Campylobacter	Bacteria
Helicobacter	Bacteria
Achromobacter	Bacteria
Pseudoalteromonas	Bacteria
Alteromonas	Bacteria
Brucella	Bacteria
Elizabethkingia	Bacteria
Flavobacterium	Bacteria
Planomicrobium	Bacteria
Chryseobacterium	Bacteria
Empedobacter	Bacteria
Terrimonas	Bacteria
Psychroflexus	Bacteria
Halomonas	Bacteria
[Flavobacterium]	Bacteria
Myroides	Bacteria
Sphingobacterium	Bacteria
Francisella	Bacteria
Paracoccus	Bacteria
Thermus	Bacteria
Meiothermus	Bacteria
Comamonas	Bacteria
Pseudomonas	Bacteria
[Pseudomonas]	Bacteria
Burkholderia	Bacteria
Brevundimonas	Bacteria
Hydrogenophilus	Bacteria
Roseateles	Bacteria
Ralstonia	Bacteria
Stutzerimonas	Bacteria
Xanthomonas	Bacteria
Zoogloea	Bacteria
Azotobacter	Bacteria
Agrobacterium	Bacteria
Rhizobium	Bacteria
Bradyrhizobium	Bacteria
Sinorhizobium	Bacteria
Mesorhizobium	Bacteria
Neorhizobium	Bacteria
Methylobacillus	Bacteria
Methylorubrum	Bacteria
Methylobacterium	Bacteria
Methylococcus	Bacteria
Methylobacter	Bacteria
Methylomonas	Bacteria
Methylosinus	Bacteria
Acetobacter	Bacteria
Novacetimonas	Bacteria
Acidomonas	Bacteria
Gluconacetobacter	Bacteria
Gluconobacter	Bacteria
Legionella	Bacteria
