qseqid	stitle
TRINITY_DN0_c0_g1_i2	hypothetical protein RclHR1_00930026 [Rhizophagus clarus]
TRINITY_DN0_c0_g2_i1	hypothetical protein FA10DRAFT_235632, partial [Acaromyces ingoldii]
TRINITY_DN0_c0_g3_i6	hypothetical protein Lal_00045043 [Lupinus albus]
TRINITY_DN10000_c0_g1_i2	PREDICTED: uncharacterized protein At1g04910 [Fragaria vesca subsp. vesca]
TRINITY_DN10001_c0_g1_i5	PREDICTED: protein ABIL1 [Fragaria vesca subsp. vesca]
TRINITY_DN10002_c0_g1_i2	PREDICTED: embryogenesis-associated protein EMB8 [Fragaria vesca subsp. vesca]
TRINITY_DN10003_c0_g1_i1	PREDICTED: probable leucine-rich repeat receptor-like protein kinase At5g49770 [Fragaria vesca subsp. vesca]
TRINITY_DN10004_c0_g1_i2	PREDICTED: probable protein phosphatase 2C 13 [Fragaria vesca subsp. vesca]
TRINITY_DN10004_c0_g2_i1	PREDICTED: uncharacterized protein LOC101305464 [Fragaria vesca subsp. vesca]
TRINITY_DN10004_c0_g3_i1	PREDICTED: probable protein phosphatase 2C 13 [Fragaria vesca subsp. vesca]
TRINITY_DN10005_c0_g1_i3	PREDICTED: uncharacterized protein LOC101314582 [Fragaria vesca subsp. vesca]
TRINITY_DN10006_c0_g1_i1	transcription factor AP214 [Fragaria x ananassa]
TRINITY_DN10006_c0_g2_i2	transcription factor AP214 [Fragaria x ananassa]
TRINITY_DN10007_c0_g1_i1	PREDICTED: putative UDP-glucuronate:xylan alpha-glucuronosyltransferase 3 [Fragaria vesca subsp. vesca]
TRINITY_DN10008_c0_g1_i2	PREDICTED: probable polyol transporter 4 [Fragaria vesca subsp. vesca]
TRINITY_DN10009_c0_g1_i3	PREDICTED: F-box/kelch-repeat protein At3g06240-like [Fragaria vesca subsp. vesca]
TRINITY_DN1000_c0_g1_i3	PREDICTED: protein MEI2-like 5 [Fragaria vesca subsp. vesca]
TRINITY_DN1000_c0_g2_i3	PREDICTED: protein MEI2-like 4 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10010_c0_g1_i10	PREDICTED: probable protein phosphatase 2C 52 [Fragaria vesca subsp. vesca]
TRINITY_DN10011_c0_g1_i33	PREDICTED: paired amphipathic helix protein Sin3-like 2 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10011_c1_g1_i2	PREDICTED: calcium-transporting ATPase 2, plasma membrane-type-like [Fragaria vesca subsp. vesca]
TRINITY_DN10012_c0_g1_i2	PREDICTED: probable 28S rRNA (cytosine-C(5))-methyltransferase [Fragaria vesca subsp. vesca]
TRINITY_DN10012_c0_g2_i3	PREDICTED: aldehyde dehydrogenase family 3 member H1-like [Fragaria vesca subsp. vesca]
TRINITY_DN10013_c0_g1_i1	PREDICTED: ABC transporter B family member 15-like [Fragaria vesca subsp. vesca]
TRINITY_DN10014_c0_g1_i11	PREDICTED: peroxisomal membrane protein PEX14 [Fragaria vesca subsp. vesca]
TRINITY_DN10016_c0_g1_i5	PREDICTED: ATP-dependent RNA helicase DHX36 [Fragaria vesca subsp. vesca]
TRINITY_DN10016_c0_g2_i1	PREDICTED: ATP-dependent RNA helicase DHX36 [Fragaria vesca subsp. vesca]
TRINITY_DN10017_c0_g1_i6	PREDICTED: probable ubiquitin-conjugating enzyme E2 25 [Fragaria vesca subsp. vesca]
TRINITY_DN10018_c0_g1_i3	PREDICTED: transforming growth factor-beta receptor-associated protein 1 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10019_c0_g1_i3	PREDICTED: uncharacterized protein LOC101309582 [Fragaria vesca subsp. vesca]
TRINITY_DN1001_c0_g1_i9	PREDICTED: 60S ribosomal protein L8-3 [Fragaria vesca subsp. vesca]
TRINITY_DN10020_c0_g1_i3	PREDICTED: uncharacterized protein LOC101292862 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10023_c0_g1_i1	PREDICTED: tubulin beta chain-like [Fragaria vesca subsp. vesca]
TRINITY_DN10025_c0_g1_i15	cysteine synthase-like [Rosa chinensis]
TRINITY_DN10026_c0_g1_i3	GABA transporter 1-like [Rosa chinensis]
TRINITY_DN10027_c0_g2_i1	PREDICTED: probable auxin efflux carrier component 1c [Fragaria vesca subsp. vesca]
TRINITY_DN10028_c0_g1_i9	PREDICTED: aldose 1-epimerase-like [Fragaria vesca subsp. vesca]
TRINITY_DN10029_c0_g1_i2	PREDICTED: putative G3BP-like protein [Fragaria vesca subsp. vesca]
TRINITY_DN1002_c0_g1_i6	LOW QUALITY PROTEIN: WEB family protein At5g16730, chloroplastic-like [Rosa chinensis]
TRINITY_DN10030_c0_g2_i10	PREDICTED: probable protein phosphatase 2C 60 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10031_c0_g1_i3	PREDICTED: F-box protein SKIP23 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10032_c0_g1_i2	hypothetical protein B456_004G144100 [Gossypium raimondii]
TRINITY_DN10034_c0_g1_i1	PREDICTED: acyl carrier protein 1, chloroplastic-like [Fragaria vesca subsp. vesca]
TRINITY_DN10034_c0_g3_i3	PREDICTED: acyl carrier protein 1, chloroplastic-like [Fragaria vesca subsp. vesca]
TRINITY_DN10035_c0_g1_i9	PREDICTED: bidirectional sugar transporter SWEET2 [Fragaria vesca subsp. vesca]
TRINITY_DN10036_c0_g1_i6	PREDICTED: SAL1 phosphatase-like [Fragaria vesca subsp. vesca]
TRINITY_DN10036_c0_g2_i2	PREDICTED: SAL1 phosphatase-like [Fragaria vesca subsp. vesca]
TRINITY_DN10037_c0_g1_i1	PREDICTED: S-alkyl-thiohydroximate lyase SUR1-like [Fragaria vesca subsp. vesca]
TRINITY_DN10037_c0_g2_i6	PREDICTED: S-alkyl-thiohydroximate lyase SUR1-like [Fragaria vesca subsp. vesca]
TRINITY_DN10038_c0_g2_i2	PREDICTED: CBL-interacting serine/threonine-protein kinase 11 [Fragaria vesca subsp. vesca]
TRINITY_DN10038_c1_g1_i1	PREDICTED: CBL-interacting serine/threonine-protein kinase 11 [Fragaria vesca subsp. vesca]
TRINITY_DN10040_c0_g1_i5	PREDICTED: protoporphyrinogen oxidase 1, chloroplastic [Fragaria vesca subsp. vesca]
TRINITY_DN10041_c0_g1_i7	PREDICTED: inorganic pyrophosphatase 2-like [Fragaria vesca subsp. vesca]
TRINITY_DN10042_c0_g1_i1	zinc finger BED domain-containing protein RICESLEEPER 2-like [Rosa chinensis]
TRINITY_DN10043_c0_g5_i2	putative toll-like receptor, P-loop containing nucleoside triphosphate hydrolase [Rosa chinensis]
TRINITY_DN10044_c0_g1_i1	PREDICTED: uncharacterized protein LOC101294946 [Fragaria vesca subsp. vesca]
TRINITY_DN10044_c0_g2_i1	PREDICTED: uncharacterized protein LOC101294946 [Fragaria vesca subsp. vesca]
TRINITY_DN10045_c0_g1_i6	PREDICTED: homeobox-leucine zipper protein HAT5 [Fragaria vesca subsp. vesca]
TRINITY_DN10046_c0_g1_i12	hypothetical protein RchiOBHm_Chr4g0414551 [Rosa chinensis]
TRINITY_DN10047_c0_g1_i5	PREDICTED: (6-4)DNA photolyase [Fragaria vesca subsp. vesca]
TRINITY_DN10048_c0_g1_i1	PREDICTED: josephin-like protein isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10049_c0_g1_i1	PREDICTED: uncharacterized protein LOC101308150 [Fragaria vesca subsp. vesca]
TRINITY_DN1004_c0_g1_i1	PREDICTED: probable acyl-activating enzyme 2 [Fragaria vesca subsp. vesca]
TRINITY_DN1004_c0_g2_i3	PREDICTED: probable acyl-activating enzyme 2 [Fragaria vesca subsp. vesca]
TRINITY_DN10050_c2_g1_i1	PREDICTED: uncharacterized protein LOC105352106 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10052_c0_g1_i4	UTP:RNA uridylyltransferase 1 [Rosa chinensis]
TRINITY_DN10052_c0_g2_i1	PREDICTED: cathepsin B-like [Fragaria vesca subsp. vesca]
TRINITY_DN10053_c0_g1_i2	PREDICTED: branchpoint-bridging protein [Fragaria vesca subsp. vesca]
TRINITY_DN10053_c0_g2_i1	PREDICTED: branchpoint-bridging protein [Fragaria vesca subsp. vesca]
TRINITY_DN10056_c0_g2_i3	PREDICTED: uncharacterized protein DDB_G0283697 [Fragaria vesca subsp. vesca]
TRINITY_DN10057_c0_g1_i10	PREDICTED: probable folate-biopterin transporter 2 [Fragaria vesca subsp. vesca]
TRINITY_DN10058_c0_g1_i9	PREDICTED: CLK4-associating serine/arginine rich protein isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10058_c0_g2_i2	CLK4-associating serine/arginine rich protein isoform X4 [Rosa chinensis]
