KEGG_ID	Taxonomy_type	Class_I	Class_II	Description
K09027	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Jun	XBP1; X box-binding protein 1
K04448	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Jun	JUN; transcription factor AP-1
K09028	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Jun	JUNB; transcription factor jun-B
K04449	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Jun	JUND; transcription factor jun-D
K04379	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Fos	FOS; proto-oncogene protein c-fos
K09029	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Fos	FOSB; protein FosB
K04502	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Fos	FOSL1; fos-like antigen 1
K09030	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Fos	FOSL2; fos-like antigen 2
K09031	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Fos	FOSLN; fos-like antigen, invertebrate
K09032	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Fos	ATF3, LRF1; activating transcription factor 3
K21406	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Fos	ATF3, A3-3; activating transcription factor 3
K09033	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Fos	JDP2; jun dimerization protein 2
K09034	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Fos	BATF; ATF-like basic leucine zipper transcriptional factor
K09035	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Maf	CMAF, MAF; transcription factor Maf
K07595	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Maf	MAFA; transcription factor MAFA
K09036	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Maf	MAFB; transcription factor MAFB
K09037	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Maf	MAFF_G_K; transcription factor MAFF/G/K
K09038	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Maf	NRL; neural retina-specific leucine zipper protein
K09039	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, NF-E2	NFE2; nuclear factor erythroid 2
K09040	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, NF-E2	NFE2L1_3; nuclear factor erythroid 2-related factor 1/3
K05638	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, NF-E2	NFE2L2, NRF2; nuclear factor erythroid 2-related factor 2
K09041	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, NF-E2	NFE2N, CNC; nuclear factor erythroid 2, invertebrate
K09042	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, NF-E2	BACH; transcription regulator BACH
K09464	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Fungal regulators	GCN4; general control protein GCN4
K09043	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, Fungal regulators	YAP; AP-1-like transcription factor
K04450	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, CRE-BP/ATF	ATF2, CREBP1; cyclic AMP-dependent transcription factor ATF-2
K09032	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, CRE-BP/ATF	ATF3, LRF1; activating transcription factor 3
K04374	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, CRE-BP/ATF	ATF4, CREB2; cyclic AMP-dependent transcription factor ATF-4
K09044	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, CRE-BP/ATF	ATF5; activating transcription factor 5
K09045	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, CRE-BP/ATF	ATF7, ATFA; activating transcription factor 7
K09047	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, CRE-BP/ATF	CREB5, CREBPA; cyclic AMP-responsive element-binding protein 5
K21548	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, CRE-BP/ATF	CREBZF; ATF/CREB family transcription factor
K09051	Eukaryotic type	Basic leucine zipper (bZIP)	AP-1(-like) components, CRE-BP/ATF	SKO1, ATF1, PCR1; ATF/CREB family transcription factor
K05870	Eukaryotic type	Basic leucine zipper (bZIP)	CREB	CREB1; cyclic AMP-responsive element-binding protein 1
K09048	Eukaryotic type	Basic leucine zipper (bZIP)	CREB	CREB3; cyclic AMP-responsive element-binding protein 3
K09049	Eukaryotic type	Basic leucine zipper (bZIP)	CREB	ATF6B, CREBL1; cyclic AMP-dependent transcription factor ATF-6 beta
K09052	Eukaryotic type	Basic leucine zipper (bZIP)	CREB	CREM; cAMP response element modulator
K09053	Eukaryotic type	Basic leucine zipper (bZIP)	CREB	ATF1; activating transcription factor 1
K09054	Eukaryotic type	Basic leucine zipper (bZIP)	CREB	ATF6A; cyclic AMP-dependent transcription factor ATF-6 alpha
K16230	Eukaryotic type	Basic leucine zipper (bZIP)	CREB	HAC1; transcriptional activator HAC1
K09055	Eukaryotic type	Basic leucine zipper (bZIP)	C/EBP-like factors	CEBPA; CCAAT/enhancer binding protein (C/EBP), alpha
K10048	Eukaryotic type	Basic leucine zipper (bZIP)	C/EBP-like factors	CEBPB; CCAAT/enhancer binding protein (C/EBP), beta
K10049	Eukaryotic type	Basic leucine zipper (bZIP)	C/EBP-like factors	CEBPG; CCAAT/enhancer binding protein (C/EBP), gamma
K10050	Eukaryotic type	Basic leucine zipper (bZIP)	C/EBP-like factors	CEBPD; CCAAT/enhancer binding protein (C/EBP), delta
K10051	Eukaryotic type	Basic leucine zipper (bZIP)	C/EBP-like factors	CEBPE; CCAAT/enhancer binding protein (C/EBP), epsilon
K10052	Eukaryotic type	Basic leucine zipper (bZIP)	C/EBP-like factors	CEBPN; CCAAT/enhancer binding protein (C/EBP), invertebrate
K23479	Eukaryotic type	Basic leucine zipper (bZIP)	C/EBP-like factors	CCAAT/enhancer binding protein (C/EBP), other
K04452	Eukaryotic type	Basic leucine zipper (bZIP)	C/EBP-like factors	DDIT3, GADD153; DNA damage-inducible transcript 3
K09056	Eukaryotic type	Basic leucine zipper (bZIP)	bZIP/PAR	DBP; albumin D box-binding protein
K09057	Eukaryotic type	Basic leucine zipper (bZIP)	bZIP/PAR	HLF; hepatic leukemia factor
K09058	Eukaryotic type	Basic leucine zipper (bZIP)	bZIP/PAR	TEF; thyrotrophic embryonic factor
K09059	Eukaryotic type	Basic leucine zipper (bZIP)	bZIP/PAR	NFIL3, E4BP4; nuclear factor, interleukin 3 regulated
K14432	Eukaryotic type	Basic leucine zipper (bZIP)	Plant bZIP factors	ABF; ABA responsive element binding factor
K14431	Eukaryotic type	Basic leucine zipper (bZIP)	Plant bZIP factors	TGA; transcription factor TGA
K09060	Eukaryotic type	Basic leucine zipper (bZIP)	Plant bZIP factors	GBF; plant G-box-binding factor
K16241	Eukaryotic type	Basic leucine zipper (bZIP)	Plant bZIP factors	HY5; transcription factor HY5
K20557	Eukaryotic type	Basic leucine zipper (bZIP)	Plant bZIP factors	VIP1; transcription factor VIP1
K25786	Eukaryotic type	Basic leucine zipper (bZIP)	Plant bZIP factors	BZIP1S; bZIP transcription factor 1/2/11/44/53
K25784	Eukaryotic type	Basic leucine zipper (bZIP)	Plant bZIP factors	BZIP9_10_25_63; bZIP transcription factor 9/10/25/63
K25783	Eukaryotic type	Basic leucine zipper (bZIP)	Plant bZIP factors	BZIP17_28_49; bZIP transcription factor 17/28/49
K25785	Eukaryotic type	Basic leucine zipper (bZIP)	Plant bZIP factors	BZIP19_23_24; bZIP transcription factor 19/23/24
K09061	Eukaryotic type	Basic leucine zipper (bZIP)	ZIP only	GCF, C2orf3; GC-rich sequence DNA-binding factor
K12114	Eukaryotic type	Basic leucine zipper (bZIP)	ZIP only	VRI; vrille
K09062	Eukaryotic type	Basic leucine zipper (bZIP)	ZIP only	GT; protein giant
K06649	Eukaryotic type	Basic leucine zipper (bZIP)	ZIP only	SWI4; regulatory protein SWI4
K06648	Eukaryotic type	Basic leucine zipper (bZIP)	ZIP only	SWI6; regulatory protein SWI6
K21642	Eukaryotic type	Basic leucine zipper (bZIP)	ZIP only	OPI1; transcriptional repressor OPI1
K21646	Eukaryotic type	Basic leucine zipper (bZIP)	ZIP only	GCR1; glycolytic genes transcriptional activator GCR1
K21671	Eukaryotic type	Basic leucine zipper (bZIP)	ZIP only	GCR2; glycolytic genes transcriptional activator GCR2
K21451	Eukaryotic type	Basic leucine zipper (bZIP)	ZIP only	XLNR; xylanolytic transcriptional activator XlnR
K21452	Eukaryotic type	Basic leucine zipper (bZIP)	ZIP only	MBZ1; bZIP-type transcription factor MBZ1
K09063	Eukaryotic type	Basic helix-loop-helix (bHLH)	Ubiquitous (class A) factors	TCF3, E2A; transcription factor E2-alpha
K15603	Eukaryotic type	Basic helix-loop-helix (bHLH)	Ubiquitous (class A) factors	TCF4_12; transcription factor 4/12
K09064	Eukaryotic type	Basic helix-loop-helix (bHLH)	Myogenic transcription factors	MYOD1, MYF3; myogenic factor 3
K18483	Eukaryotic type	Basic helix-loop-helix (bHLH)	Myogenic transcription factors	MYF4, MYOG; myogenic factor 4 (myogenin)
K18484	Eukaryotic type	Basic helix-loop-helix (bHLH)	Myogenic transcription factors	MYF5; myogenic factor 5
K18485	Eukaryotic type	Basic helix-loop-helix (bHLH)	Myogenic transcription factors	MYF6, MRF4; myogenic factor 6
K09066	Eukaryotic type	Basic helix-loop-helix (bHLH)	Myogenic transcription factors	FIGLA; factor in the germline alpha
K09067	Eukaryotic type	Basic helix-loop-helix (bHLH)	Achaete-Scute	ASCL; achaete-scute complex protein
K09068	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Lymphoid factors	TAL; T-cell acute lymphocytic leukemia protein
K15604	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Lymphoid factors	LYL1; protein lyl-1
K09069	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors	TWIST; twist
K09070	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors	TCF15, PARAXIS; transcription factor 15
K09071	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors	HAND1; heart-and neural crest derivatives-expressed protein 1
K18486	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors	HAND2; heart-and neural crest derivatives-expressed protein 2
K09072	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors	MSC; musculin (activated B-cell factor-1)
K09073	Eukaryotic type	Basic helix-loop-helix (bHLH)	Tal/Twist/Atonal/Hen, Mesodermal Twist-like factors	PTF1A; pancreas-specific transcription factor 1a
