qseqid	stitle
TRINITY_DN10006_c0_g1_i1	transcription factor AP214 [Fragaria x ananassa]
TRINITY_DN10006_c0_g2_i2	transcription factor AP214 [Fragaria x ananassa]
TRINITY_DN10100_c0_g1_i4	PREDICTED: mediator of RNA polymerase II transcription subunit 31 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10102_c0_g1_i5	PREDICTED: transcription initiation factor TFIID subunit 12 isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10110_c0_g1_i11	transcription factor ERF5 [Fragaria x ananassa]
TRINITY_DN10111_c0_g1_i9	PREDICTED: transcription factor MYB1R1 [Fragaria vesca subsp. vesca]
TRINITY_DN10132_c0_g1_i4	PREDICTED: transcriptional corepressor LEUNIG-like isoform X2 [Fragaria vesca subsp. vesca]
TRINITY_DN10167_c0_g2_i5	PREDICTED: transcription factor bHLH48 [Fragaria vesca subsp. vesca]
TRINITY_DN10203_c0_g1_i1	PREDICTED: B3 domain-containing transcription factor NGA1-like [Fragaria vesca subsp. vesca]
TRINITY_DN10203_c0_g2_i3	PREDICTED: B3 domain-containing transcription factor NGA1-like [Fragaria vesca subsp. vesca]
TRINITY_DN10419_c0_g1_i13	PREDICTED: general negative regulator of transcription subunit 3 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN10436_c0_g2_i5	PREDICTED: transcription factor bHLH148-like [Fragaria vesca subsp. vesca]
TRINITY_DN10436_c1_g2_i1	PREDICTED: transcription factor bHLH147-like [Fragaria vesca subsp. vesca]
TRINITY_DN10437_c0_g1_i4	transcription factor ERF6 [Fragaria x ananassa]
TRINITY_DN1046_c0_g1_i3	PREDICTED: ethylene-responsive transcription factor RAP2-12-like [Fragaria vesca subsp. vesca]
TRINITY_DN1046_c0_g2_i1	PREDICTED: ethylene-responsive transcription factor RAP2-3 [Fragaria vesca subsp. vesca]
TRINITY_DN10470_c0_g1_i5	PREDICTED: trihelix transcription factor ASIL2 [Fragaria vesca subsp. vesca]
TRINITY_DN10480_c0_g1_i1	PREDICTED: transcription factor bHLH93-like [Fragaria vesca subsp. vesca]
TRINITY_DN1048_c0_g2_i12	PREDICTED: probable WRKY transcription factor 40 isoform X1 [Fragaria vesca subsp. vesca]
TRINITY_DN1061_c0_g3_i1	putative post-transcriptional gene silencing PAZ-Argonaute family [Rosa chinensis]
TRINITY_DN10635_c0_g1_i2	PREDICTED: transcription factor bHLH35 [Fragaria vesca subsp. vesca]
TRINITY_DN10657_c0_g1_i2	PREDICTED: LOW QUALITY PROTEIN: CCR4-NOT transcription complex subunit 10 [Fragaria vesca subsp. vesca]
TRINITY_DN10657_c1_g1_i1	PREDICTED: LOW QUALITY PROTEIN: CCR4-NOT transcription complex subunit 10 [Fragaria vesca subsp. vesca]
